timestamp,sender,receiver,message_type,content
0,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 7
0,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 1
0,UAV 1,Control Center,TASK_START,Start task 1
0,UAV 2,Control Center,TASK_START,Start task 7
1,UAV 1,Control Center,TASK_COMPLETE,Complete task 1
1,UAV 2,Control Center,TASK_COMPLETE,Complete task 7
2,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 2
2,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 9
2,UAV 1,Control Center,TASK_START,Start task 2
2,UAV 2,Control Center,TASK_START,Start task 9
3,UAV 1,Control Center,TASK_COMPLETE,Complete task 2
3,UAV 2,Control Center,TASK_COMPLETE,Complete task 9
3,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 19.8%"
3,Control Center,AGV 1,CHARGING_COMMAND,Charge UAV 2
3,AGV 1,UAV 2,CHARGING_START,Start charging
4,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 8
4,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 6
4,UAV 1,Control Center,TASK_START,Start task 6
4,UAV 2,Control Center,TASK_START,Start task 8
4,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 12.5%"
4,Control Center,AGV 1,CHARGING_COMMAND,Charge UAV 1
4,AGV 1,UAV 1,CHARGING_START,Start charging
17,UAV 2,Control Center,TASK_COMPLETE,Complete task 8
18,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 3
18,UAV 2,Control Center,TASK_START,Start task 3
18,UAV 1,Control Center,TASK_COMPLETE,Complete task 6
18,UAV 2,Control Center,LOW_BATTERY,Battery level: 28.3%
19,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 4
19,UAV 1,Control Center,TASK_START,Start task 4
19,UAV 2,Control Center,TASK_COMPLETE,Complete task 3
19,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 10.5%"
19,Control Center,AGV 1,CHARGING_COMMAND,Charge UAV 2
19,AGV 1,UAV 2,CHARGING_START,Start charging
20,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 10
20,UAV 2,Control Center,TASK_START,Start task 10
20,UAV 1,Control Center,TASK_COMPLETE,Complete task 4
20,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.4%
21,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.4%
22,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.4%
23,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.4%
24,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.4%
25,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.4%
26,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.4%
27,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.4%
28,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.4%
29,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.4%
30,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.4%
31,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.4%
32,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.4%
33,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.4%
34,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.4%
34,UAV 2,Control Center,TASK_COMPLETE,Complete task 10
35,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 5
35,UAV 2,Control Center,TASK_START,Start task 5
35,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.4%
35,UAV 2,Control Center,LOW_BATTERY,Battery level: 24.0%
36,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.4%
36,UAV 2,Control Center,TASK_COMPLETE,Complete task 5
36,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 3.2%"
36,Control Center,AGV 1,CHARGING_COMMAND,Charge UAV 2
36,AGV 1,UAV 2,CHARGING_START,Start charging
37,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.4%
38,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.4%
39,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.4%
40,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.4%
41,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.4%
42,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.4%
43,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.4%
44,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.4%
45,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.4%
46,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.4%
47,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.4%
48,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.4%
49,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.4%
50,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.4%
51,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.4%
52,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.4%
