step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,10,0,0,0.0,0.0,0.0,39.2919438537085,0.0,0.0,39.2919438537085
1,2,8,2,0,546.7044796257857,0.0,546.7044796257857,75.30585706996675,0.0,0.0,75.30585706996675
2,3,8,2,0,546.7044796257857,0.0,546.7044796257857,111.33349335082774,0.0,0.0,111.33349335082774
3,4,6,4,0,574.1640389080302,0.0,574.1640389080302,147.18141186200694,0.0,0.0,147.18141186200694
4,5,6,4,2,574.1640389080302,0.0,574.1640389080302,186.1744493820484,0.0,0.0,186.1744493820484
5,6,6,4,2,574.1640389080302,0.0,574.1640389080302,186.1744493820484,0.0,4.0,190.1744493820484
6,7,6,4,2,574.1640389080302,0.0,574.1640389080302,186.1744493820484,0.0,8.0,194.1744493820484
7,8,6,4,2,574.1640389080302,0.0,574.1640389080302,186.1744493820484,0.0,12.0,198.1744493820484
8,9,6,4,2,574.1640389080302,0.0,574.1640389080302,186.1744493820484,0.0,16.0,202.1744493820484
9,10,6,4,2,574.1640389080302,0.0,574.1640389080302,186.1744493820484,0.0,20.0,206.1744493820484
10,11,6,4,2,574.1640389080302,0.0,574.1640389080302,186.1744493820484,0.0,24.0,210.1744493820484
11,12,6,4,2,574.1640389080302,0.0,574.1640389080302,186.1744493820484,0.0,28.0,214.1744493820484
12,13,6,4,2,574.1640389080302,0.0,574.1640389080302,186.1744493820484,0.0,32.0,218.1744493820484
13,14,6,4,2,574.1640389080302,0.0,574.1640389080302,186.1744493820484,0.0,36.0,222.1744493820484
14,15,6,4,2,574.1640389080302,0.0,574.1640389080302,186.1744493820484,0.0,40.0,226.1744493820484
15,16,6,4,2,574.1640389080302,0.0,574.1640389080302,186.1744493820484,0.0,44.0,230.1744493820484
16,17,6,4,2,574.1640389080302,0.0,574.1640389080302,186.1744493820484,0.0,48.0,234.1744493820484
17,18,6,4,2,574.1640389080302,0.0,574.1640389080302,186.1744493820484,0.0,52.0,238.1744493820484
18,19,6,4,2,574.1640389080302,0.0,574.1640389080302,186.1744493820484,0.0,56.0,242.1744493820484
19,20,4,6,2,812.8464283069565,0.0,812.8464283069565,223.54420365487357,0.0,60.0,283.54420365487357
20,21,4,6,2,812.8464283069565,0.0,812.8464283069565,262.5486192446011,0.0,60.0,322.5486192446011
21,22,2,8,2,1119.1620371231727,0.0,1119.1620371231727,299.56698917176703,0.0,60.0,359.56698917176703
22,23,2,8,2,1119.1620371231727,10.0,1129.1620371231727,339.0571860736877,0.5,60.0,399.5571860736877
23,24,0,10,2,1430.5387795169072,20.0,1450.5387795169072,376.3202372423934,1.0,60.0,437.3202372423934
24,25,0,10,2,1430.5387795169072,30.0,1460.5387795169072,376.3202372423934,1.5,60.0,437.8202372423934
25,26,0,10,2,1430.5387795169072,40.0,1470.5387795169072,376.3202372423934,2.0,60.0,438.3202372423934
26,27,0,10,2,1430.5387795169072,50.0,1480.5387795169072,376.3202372423934,2.5,60.0,438.8202372423934
27,28,0,10,2,1430.5387795169072,60.0,1490.5387795169072,376.3202372423934,3.0,60.0,439.3202372423934
28,29,0,10,2,1430.5387795169072,70.0,1500.5387795169072,376.3202372423934,3.5,60.0,439.8202372423934
29,30,0,10,2,1430.5387795169072,80.0,1510.5387795169072,376.3202372423934,4.0,60.0,440.3202372423934
30,31,0,10,2,1430.5387795169072,90.0,1520.5387795169072,376.3202372423934,4.5,60.0,440.8202372423934
31,32,0,10,2,1430.5387795169072,100.0,1530.5387795169072,376.3202372423934,5.0,60.0,441.3202372423934
32,33,0,10,2,1430.5387795169072,110.0,1540.5387795169072,376.3202372423934,5.5,60.0,441.8202372423934
33,34,0,10,2,1430.5387795169072,120.0,1550.5387795169072,376.3202372423934,6.0,60.0,442.3202372423934
34,35,0,10,2,1430.5387795169072,130.0,1560.5387795169072,376.3202372423934,6.5,60.0,442.8202372423934
35,36,0,10,2,1430.5387795169072,140.0,1570.5387795169072,376.3202372423934,7.0,60.0,443.3202372423934
36,37,0,10,2,1430.5387795169072,150.0,1580.5387795169072,376.3202372423934,7.5,60.0,443.8202372423934
37,38,0,10,2,1430.5387795169072,160.0,1590.5387795169072,376.3202372423934,8.0,60.0,444.3202372423934
38,39,0,10,2,1430.5387795169072,170.0,1600.5387795169072,376.3202372423934,8.5,60.0,444.8202372423934
39,40,0,10,2,1430.5387795169072,180.0,1610.5387795169072,376.3202372423934,9.0,60.0,445.3202372423934
40,41,0,10,2,1430.5387795169072,190.0,1620.5387795169072,376.3202372423934,9.5,60.0,445.8202372423934
41,42,0,10,2,1430.5387795169072,200.0,1630.5387795169072,376.3202372423934,10.0,60.0,446.3202372423934
42,43,0,10,2,1430.5387795169072,210.0,1640.5387795169072,376.3202372423934,10.5,60.0,446.8202372423934
43,44,0,10,2,1430.5387795169072,220.0,1650.5387795169072,376.3202372423934,11.0,60.0,447.3202372423934
44,45,0,10,2,1430.5387795169072,230.0,1660.5387795169072,376.3202372423934,11.5,60.0,447.8202372423934
45,46,0,10,2,1430.5387795169072,240.0,1670.5387795169072,376.3202372423934,12.0,60.0,448.3202372423934
46,47,0,10,2,1430.5387795169072,250.0,1680.5387795169072,376.3202372423934,12.5,60.0,448.8202372423934
47,48,0,10,2,1430.5387795169072,260.0,1690.5387795169072,376.3202372423934,13.0,60.0,449.3202372423934
48,49,0,10,2,1430.5387795169072,270.0,1700.5387795169072,376.3202372423934,13.5,60.0,449.8202372423934
49,50,0,10,4,1430.5387795169072,276.508589378341,1707.0473688952482,376.3202372423934,13.82542946891705,60.0,450.1456667113104
50,51,0,10,4,1430.5387795169072,276.508589378341,1707.0473688952482,376.3202372423934,13.82542946891705,64.0,454.1456667113104
51,52,0,10,4,1430.5387795169072,276.508589378341,1707.0473688952482,376.3202372423934,13.82542946891705,68.0,458.1456667113104
52,53,0,10,4,1430.5387795169072,276.508589378341,1707.0473688952482,376.3202372423934,13.82542946891705,72.0,462.1456667113104
53,54,0,10,4,1430.5387795169072,276.508589378341,1707.0473688952482,376.3202372423934,13.82542946891705,76.0,466.1456667113104
54,55,0,10,4,1430.5387795169072,276.508589378341,1707.0473688952482,376.3202372423934,13.82542946891705,80.0,470.1456667113104
55,56,0,10,4,1430.5387795169072,276.508589378341,1707.0473688952482,376.3202372423934,13.82542946891705,84.0,474.1456667113104
56,57,0,10,4,1430.5387795169072,276.508589378341,1707.0473688952482,376.3202372423934,13.82542946891705,88.0,478.1456667113104
57,58,0,10,4,1430.5387795169072,276.508589378341,1707.0473688952482,376.3202372423934,13.82542946891705,92.0,482.1456667113104
58,59,0,10,4,1430.5387795169072,276.508589378341,1707.0473688952482,376.3202372423934,13.82542946891705,96.0,486.1456667113104
59,60,0,10,4,1430.5387795169072,276.508589378341,1707.0473688952482,376.3202372423934,13.82542946891705,100.0,490.1456667113104
60,61,0,10,4,1430.5387795169072,276.508589378341,1707.0473688952482,376.3202372423934,13.82542946891705,104.0,494.1456667113104
61,62,0,10,4,1430.5387795169072,276.508589378341,1707.0473688952482,376.3202372423934,13.82542946891705,108.0,498.1456667113104
62,63,0,10,4,1430.5387795169072,276.508589378341,1707.0473688952482,376.3202372423934,13.82542946891705,112.0,502.1456667113104
