step,sim_time,event_type,task_id,uav_id,agv_id,x,y,details
0,0,TASK_ASSIGNED,1,1,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,7,2,,,,Task assigned to UAV
0,0,TASK_START,1,1,,,,Task starts execution
0,0,TASK_START,7,2,,,,Task starts execution
1,1,TASK_COMPLETE,1,1,,,,
1,1,TASK_COMPLETE,7,2,,,,
2,2,TASK_ASSIGNED,2,1,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,9,2,,,,Task assigned to UAV
2,2,TASK_START,2,1,,,,Task starts execution
2,2,TASK_START,9,2,,,,Task starts execution
3,3,TASK_COMPLETE,2,1,,,,
3,3,TASK_COMPLETE,9,2,,,,
3,3,CHARGING_REQUEST,,2,,,,UAV requests charging
3,3,CHARGING_START,,2,1,388,58,Charging started
4,4,AGV_MOVE_START,3,,1,140,125,AGV starts moving to relay point
4,4,TASK_ASSIGNED,8,1,,,,Task assigned to UAV
4,4,TASK_ASSIGNED,3,2,1,,,Task assigned to UAV
4,4,RELAY_REQUEST,3,,1,,,Relay support requested for task
4,4,RELAY_REQUEST,3,,,,,Relay via AGV 1
4,4,WAIT_FOR_AGV_START,3,2,,,,Task starts waiting for AGV
4,4,TASK_START,8,1,,,,Task starts execution
4,4,AGV_ARRIVE_RELAY,3,,1,140,116,AGV arrived at relay point
4,4,UAV_DEPLOYED_AT_RELAY,3,2,1,,,UAV position updated to relay point
4,4,CHARGING_REQUEST,,1,,,,UAV requests charging
4,4,CHARGING_START,,1,1,379,58,Charging started
5,5,WAIT_FOR_AGV_END,3,2,,,,Task stops waiting for AGV
16,16,CHARGING_END,,2,1,140,116,Charging ended
16,16,RELAY_COOP_START,3,2,1,,,
17,17,TASK_COMPLETE,3,2,,,,
18,18,TASK_ASSIGNED,6,2,,,,Task assigned to UAV
18,18,TASK_START,6,2,,,,Task starts execution
18,18,CHARGING_END,,1,1,379,58,Charging ended
18,18,TASK_COMPLETE,8,1,,,,
