step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,10,0,0,0.0,9.0,9.0,17.750029375835076,0.45,0.0,18.200029375835076
1,2,9,1,0,0.0,9.0,9.0,35.50005875167015,0.45,0.0,35.950058751670156
2,3,9,1,0,0.0,17.06072840788928,17.06072840788928,54.71454478065249,0.853036420394464,0.0,55.56758120104695
3,4,8,2,0,0.1570271767770641,17.06072840788928,17.217755584666342,73.92796116380437,0.853036420394464,0.0,74.78099758419883
4,5,8,2,1,0.1570271767770641,17.06072840788928,17.217755584666342,93.54954946863496,0.853036420394464,0.0,94.40258588902942
5,6,8,2,1,0.1570271767770641,17.06072840788928,17.217755584666342,93.54954946863496,0.853036420394464,2.0,96.40258588902942
6,7,8,2,1,0.1570271767770641,17.06072840788928,17.217755584666342,93.54954946863496,0.853036420394464,4.0,98.40258588902942
7,8,8,2,1,0.1570271767770641,17.06072840788928,17.217755584666342,93.54954946863496,0.853036420394464,6.0,100.40258588902942
8,9,8,2,1,0.1570271767770641,17.06072840788928,17.217755584666342,93.54954946863496,0.853036420394464,8.0,102.40258588902942
9,10,8,2,1,0.1570271767770641,17.06072840788928,17.217755584666342,93.54954946863496,0.853036420394464,10.0,104.40258588902942
10,11,8,2,1,0.1570271767770641,17.06072840788928,17.217755584666342,117.14056826581503,0.853036420394464,12.0,129.9936046862095
11,12,7,3,1,480.7753788863222,17.06072840788928,497.83610729421144,137.33016774836057,0.853036420394464,14.0,152.18320416875503
12,13,7,3,1,480.7753788863222,17.06072840788928,497.83610729421144,154.29824466778376,0.853036420394464,16.0,171.15128108817822
13,14,6,4,1,550.4320909408441,17.06072840788928,567.4928193487334,170.8423663859711,0.853036420394464,18.0,189.69540280636556
14,15,6,4,1,550.4320909408441,27.06072840788928,577.4928193487334,189.85480542289824,1.353036420394464,20.0,211.2078418432927
15,16,5,5,1,826.461074926222,37.06072840788928,863.5218033341113,207.1322210660476,1.853036420394464,22.0,230.98525748644207
16,17,5,5,1,826.461074926222,47.06072840788928,873.5218033341113,207.1322210660476,2.353036420394464,24.0,233.48525748644207
17,18,5,5,1,826.461074926222,57.06072840788928,883.5218033341113,207.1322210660476,2.853036420394464,26.0,235.98525748644207
18,19,5,5,1,826.461074926222,67.06072840788929,893.5218033341113,207.1322210660476,3.353036420394464,28.0,238.48525748644207
19,20,4,6,1,878.2054942534002,77.06072840788929,955.2662226612895,226.40056161737846,3.853036420394464,30.0,260.2535980377729
20,21,4,6,1,878.2054942534002,87.06072840788929,965.2662226612895,226.40056161737846,4.353036420394464,30.0,260.7535980377729
21,22,4,6,1,878.2054942534002,97.06072840788929,975.2662226612895,226.40056161737846,4.853036420394464,30.0,261.2535980377729
22,23,4,6,1,878.2054942534002,107.06072840788929,985.2662226612895,226.40056161737846,5.353036420394464,30.0,261.7535980377729
23,24,4,6,1,878.2054942534002,117.06072840788929,995.2662226612895,226.40056161737846,5.853036420394464,30.0,262.2535980377729
24,25,4,6,1,878.2054942534002,127.06072840788929,1005.2662226612895,226.40056161737846,6.353036420394464,30.0,262.7535980377729
25,26,4,6,1,878.2054942534002,137.0607284078893,1015.2662226612895,226.40056161737846,6.853036420394464,30.0,263.2535980377729
26,27,4,6,1,878.2054942534002,147.0607284078893,1025.2662226612895,226.40056161737846,7.353036420394464,30.0,263.7535980377729
27,28,4,6,1,878.2054942534002,157.0607284078893,1035.2662226612895,226.40056161737846,7.853036420394464,30.0,264.2535980377729
28,29,4,6,1,878.2054942534002,167.0607284078893,1045.2662226612895,226.40056161737846,8.353036420394464,30.0,264.7535980377729
29,30,4,6,1,878.2054942534002,177.0607284078893,1055.2662226612895,226.40056161737846,8.853036420394464,30.0,265.2535980377729
30,31,4,6,1,878.2054942534002,187.0607284078893,1065.2662226612895,226.40056161737846,9.353036420394464,30.0,265.7535980377729
31,32,4,6,1,878.2054942534002,197.0607284078893,1075.2662226612895,226.40056161737846,9.853036420394464,30.0,266.2535980377729
32,33,4,6,1,878.2054942534002,207.0607284078893,1085.2662226612895,226.40056161737846,10.353036420394464,30.0,266.7535980377729
33,34,4,6,1,878.2054942534002,217.0607284078893,1095.2662226612895,226.40056161737846,10.853036420394464,30.0,267.2535980377729
34,35,4,6,1,878.2054942534002,227.0607284078893,1105.2662226612895,226.40056161737846,11.353036420394464,30.0,267.7535980377729
35,36,4,6,1,878.2054942534002,237.0607284078893,1115.2662226612895,226.40056161737846,11.853036420394464,30.0,268.2535980377729
36,37,4,6,1,878.2054942534002,247.0607284078893,1125.2662226612895,226.40056161737846,12.353036420394464,30.0,268.7535980377729
37,38,4,6,2,878.2054942534002,255.01079223791294,1133.216286491313,226.40056161737846,12.750539611895647,30.0,269.1511012292741
38,39,4,6,2,878.2054942534002,262.72822856932584,1140.933722822726,244.58711115471797,13.136411428466293,32.0,289.72352258318426
39,40,3,7,2,882.8359560522479,262.72822856932584,1145.5641846215738,262.74344904439124,13.136411428466293,34.0,309.87986047285756
40,41,3,7,2,882.8359560522479,272.72822856932584,1155.5641846215738,278.68394575790336,13.636411428466293,36.0,328.3203571863697
41,42,2,8,3,902.5590389755639,276.2020223024458,1178.7610612780097,294.50825949161606,13.810101115122292,38.0,346.3183606067384
42,43,2,8,3,902.5590389755639,276.2020223024458,1178.7610612780097,294.50825949161606,13.810101115122292,42.0,350.3183606067384
43,44,2,8,3,902.5590389755639,286.2020223024458,1188.7610612780097,294.50825949161606,14.310101115122292,46.0,354.8183606067384
44,45,2,8,3,902.5590389755639,296.2020223024458,1198.7610612780097,294.50825949161606,14.810101115122292,50.0,359.3183606067384
45,46,2,8,3,902.5590389755639,306.2020223024458,1208.7610612780097,294.50825949161606,15.310101115122292,54.0,363.8183606067384
46,47,2,8,3,902.5590389755639,316.2020223024458,1218.7610612780097,294.50825949161606,15.810101115122292,58.0,368.3183606067384
47,48,2,8,3,902.5590389755639,326.2020223024458,1228.7610612780097,294.50825949161606,16.310101115122293,62.0,372.8183606067384
48,49,2,8,3,902.5590389755639,336.2020223024458,1238.7610612780097,294.50825949161606,16.810101115122293,66.0,377.3183606067384
49,50,2,8,3,902.5590389755639,346.2020223024458,1248.7610612780097,294.50825949161606,17.310101115122293,70.0,381.8183606067384
50,51,2,8,3,902.5590389755639,356.2020223024458,1258.7610612780097,294.50825949161606,17.810101115122293,74.0,386.3183606067384
51,52,2,8,3,902.5590389755639,366.2020223024458,1268.7610612780097,294.50825949161606,18.310101115122293,78.0,390.8183606067384
52,53,2,8,3,902.5590389755639,376.2020223024458,1278.7610612780097,294.50825949161606,18.810101115122293,82.0,395.3183606067384
53,54,2,8,3,902.5590389755639,386.2020223024458,1288.7610612780097,313.1835622229836,19.310101115122293,86.0,418.49366333810593
54,55,1,9,3,918.3490209075284,396.2020223024458,1314.551043209974,331.75406509101344,19.810101115122293,88.0,439.5641662061357
55,56,1,9,3,918.3490209075284,406.2020223024458,1324.551043209974,331.75406509101344,20.310101115122293,90.0,442.0641662061357
56,57,1,9,3,918.3490209075284,416.2020223024458,1334.551043209974,331.75406509101344,20.810101115122293,92.0,444.5641662061357
57,58,1,9,3,918.3490209075284,426.2020223024458,1344.551043209974,331.75406509101344,21.310101115122293,94.0,447.0641662061357
58,59,1,9,3,918.3490209075284,436.2020223024458,1354.551043209974,331.75406509101344,21.810101115122293,94.0,447.5641662061357
59,60,1,9,3,918.3490209075284,446.2020223024458,1364.551043209974,331.75406509101344,22.310101115122293,94.0,448.0641662061357
60,61,1,9,3,918.3490209075284,456.2020223024458,1374.551043209974,331.75406509101344,22.810101115122293,94.0,448.5641662061357
61,62,1,9,3,918.3490209075284,466.2020223024458,1384.551043209974,331.75406509101344,23.310101115122293,94.0,449.0641662061357
62,63,1,9,3,918.3490209075284,476.2020223024458,1394.551043209974,331.75406509101344,23.810101115122293,94.0,449.5641662061357
63,64,1,9,3,918.3490209075284,486.2020223024458,1404.551043209974,331.75406509101344,24.310101115122293,94.0,450.0641662061357
64,65,1,9,3,918.3490209075284,496.2020223024458,1414.551043209974,331.75406509101344,24.810101115122293,94.0,450.5641662061357
65,66,1,9,3,918.3490209075284,506.2020223024458,1424.551043209974,331.75406509101344,25.310101115122293,94.0,451.0641662061357
66,67,1,9,3,918.3490209075284,516.2020223024458,1434.551043209974,331.75406509101344,25.810101115122293,94.0,451.5641662061357
67,68,1,9,3,918.3490209075284,526.2020223024458,1444.551043209974,331.75406509101344,26.310101115122293,94.0,452.0641662061357
68,69,1,9,3,918.3490209075284,536.2020223024458,1454.551043209974,331.75406509101344,26.810101115122293,94.0,452.5641662061357
69,70,1,9,3,918.3490209075284,546.2020223024458,1464.551043209974,331.75406509101344,27.310101115122293,94.0,453.0641662061357
70,71,1,9,3,918.3490209075284,556.2020223024458,1474.551043209974,331.75406509101344,27.810101115122293,94.0,453.5641662061357
71,72,1,9,3,918.3490209075284,566.2020223024458,1484.551043209974,331.75406509101344,28.310101115122293,94.0,454.0641662061357
72,73,1,9,3,918.3490209075284,576.2020223024458,1494.551043209974,331.75406509101344,28.810101115122293,94.0,454.5641662061357
73,74,1,9,3,918.3490209075284,586.2020223024458,1504.551043209974,331.75406509101344,29.310101115122293,94.0,455.0641662061357
74,75,1,9,3,918.3490209075284,596.2020223024458,1514.551043209974,331.75406509101344,29.810101115122293,94.0,455.5641662061357
75,76,1,9,3,918.3490209075284,606.2020223024458,1524.551043209974,331.75406509101344,30.310101115122293,94.0,456.0641662061357
76,77,1,9,3,918.3490209075284,616.2020223024458,1534.551043209974,331.75406509101344,30.810101115122293,94.0,456.5641662061357
77,78,1,9,3,918.3490209075284,626.2020223024458,1544.551043209974,331.75406509101344,31.310101115122293,94.0,457.0641662061357
78,79,1,9,3,918.3490209075284,636.2020223024458,1554.551043209974,331.75406509101344,31.810101115122293,94.0,457.5641662061357
79,80,1,9,3,918.3490209075284,646.2020223024458,1564.551043209974,331.75406509101344,32.31010111512229,94.0,458.0641662061357
80,81,1,9,3,918.3490209075284,656.2020223024458,1574.551043209974,331.75406509101344,32.81010111512229,94.0,458.5641662061357
81,82,1,9,3,918.3490209075284,666.2020223024458,1584.551043209974,331.75406509101344,33.31010111512229,94.0,459.0641662061357
82,83,1,9,3,918.3490209075284,676.2020223024458,1594.551043209974,331.75406509101344,33.81010111512229,94.0,459.5641662061357
83,84,1,9,3,918.3490209075284,686.2020223024458,1604.551043209974,331.75406509101344,34.31010111512229,94.0,460.0641662061357
84,85,1,9,3,918.3490209075284,696.2020223024458,1614.551043209974,331.75406509101344,34.81010111512229,94.0,460.5641662061357
85,86,1,9,3,918.3490209075284,706.2020223024458,1624.551043209974,331.75406509101344,35.31010111512229,94.0,461.0641662061357
86,87,1,9,3,918.3490209075284,716.2020223024458,1634.551043209974,331.75406509101344,35.81010111512229,94.0,461.5641662061357
87,88,1,9,3,918.3490209075284,726.2020223024458,1644.551043209974,331.75406509101344,36.31010111512229,94.0,462.0641662061357
88,89,1,9,3,918.3490209075284,736.2020223024458,1654.551043209974,331.75406509101344,36.81010111512229,94.0,462.5641662061357
89,90,1,9,3,918.3490209075284,746.2020223024458,1664.551043209974,331.75406509101344,37.31010111512229,94.0,463.0641662061357
90,91,1,9,3,918.3490209075284,756.2020223024458,1674.551043209974,331.75406509101344,37.81010111512229,94.0,463.5641662061357
91,92,1,9,3,918.3490209075284,756.9784509946438,1675.3274719021722,331.75406509101344,37.848922549732194,94.0,463.6029876407456
92,93,1,9,3,918.3490209075284,756.9784509946438,1675.3274719021722,376.9782819956905,37.848922549732194,94.0,508.82720454542266
93,94,0,10,3,1442.699635826055,756.9784509946438,2199.678086820699,418.41614089672714,37.848922549732194,94.0,550.2650634464593
