timestamp,sender,receiver,message_type,content
0,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 3
0,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 6
0,UAV 2,Control Center,TASK_START,Start task 3
0,UAV 1,Control Center,TASK_START,Start task 6
1,UAV 2,Control Center,TASK_COMPLETE,Complete task 3
2,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 2
2,UAV 2,Control Center,TASK_START,Start task 2
3,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 16.4%"
3,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 1
3,AGV 2,UAV 1,CHARGING_START,Start charging
3,UAV 2,Control Center,TASK_COMPLETE,Complete task 2
3,UAV 2,Control Center,LOW_BATTERY,Battery level: 24.2%
4,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 5
4,UAV 2,Control Center,TASK_START,Start task 5
4,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 15.7%"
4,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 1
4,AGV 2,UAV 1,CHARGING_START,Start charging
4,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 4.6%"
4,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 2
4,AGV 2,UAV 2,CHARGING_START,Start charging
5,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 15.0%"
5,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 1
5,AGV 2,UAV 1,CHARGING_START,Start charging
5,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 5.8%"
5,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 2
5,AGV 2,UAV 2,CHARGING_START,Start charging
6,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 14.4%"
6,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 1
6,AGV 2,UAV 1,CHARGING_START,Start charging
6,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 7.4%"
6,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 2
6,AGV 2,UAV 2,CHARGING_START,Start charging
7,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 13.8%"
7,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 1
7,AGV 2,UAV 1,CHARGING_START,Start charging
7,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 8.8%"
7,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 2
7,AGV 2,UAV 2,CHARGING_START,Start charging
8,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 13.2%"
8,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 1
8,AGV 2,UAV 1,CHARGING_START,Start charging
8,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 10.2%"
8,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 2
8,AGV 2,UAV 2,CHARGING_START,Start charging
9,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 12.5%"
9,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 1
9,AGV 2,UAV 1,CHARGING_START,Start charging
9,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 11.5%"
9,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 2
9,AGV 2,UAV 2,CHARGING_START,Start charging
10,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 11.9%"
10,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 1
10,AGV 2,UAV 1,CHARGING_START,Start charging
10,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 12.9%"
