step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,0,6,0,0,0.0,0,0.0,0,0,0,43.25802567806957
1,1,5,1,0,637.6880030334412,0,637.6880030334412,0,0,0,82.33431627592344
2,2,5,1,0,1332.4582495508866,0,1332.4582495508866,0,0,0,122.51965739631963
3,3,4,2,1,2609.737850294794,0,2609.737850294794,0,0,0,161.39409297659134
4,4,4,2,3,3904.3782908777875,0,3904.3782908777875,0,0,0,205.686535250823
5,5,4,2,5,5337.359637871936,0,5337.359637871936,0,0,0,249.13737440903788
6,6,4,2,7,6832.793822317929,0,6832.793822317929,0,0,0,292.2343703881274
7,7,4,2,9,8347.238664693443,0,8347.238664693443,0,0,0,335.40399032572867
8,8,4,2,11,9879.586371127552,0,9879.586371127552,0,0,0,378.6661541040214
9,9,4,2,13,11413.19511033564,0,11413.19511033564,0,0,0,421.9204732276461
10,10,4,2,15,12955.373079715448,0,12955.373079715448,0,0,0,465.121266932656
11,11,4,2,17,14506.70127424079,0,14506.70127424079,0,0,0,508.2605944038026
12,12,4,2,19,16091.464662737344,0,16091.464662737344,0,0,0,551.1719421723363
13,13,4,2,21,17697.59873603096,0,17697.59873603096,0,0,0,593.9374273961078
14,14,4,2,23,19330.184933348035,0,19330.184933348035,0,0,0,636.5231105745473
15,15,4,2,24,20980.052757749298,0,20980.052757749298,0,0,0,676.9938019676036
16,16,4,2,26,22672.773668650603,0,22672.773668650603,0,0,0,719.1875790259102
17,17,4,2,28,24400.59408599682,0,24400.59408599682,0,0,0,761.1514935832898
18,18,4,2,30,26158.540218493185,0,26158.540218493185,0,0,0,802.9210404336343
19,19,4,2,32,27933.034072853177,0,27933.034072853177,0,0,0,844.5824767305136
20,20,4,2,34,29723.52181374737,0,29723.52181374737,0,0,0,886.1393559854263
21,21,4,2,36,31533.75969558563,0,31533.75969558563,0,0,0,927.5681393580044
22,22,4,2,38,33355.77775117075,0,33355.77775117075,0,0,0,968.9195057734782
23,23,3,3,40,35188.377388702866,0,35188.377388702866,0,0,0,1010.2013011584864
24,24,3,3,42,37027.01049361982,0,37027.01049361982,0,0,0,1052.9219301240535
25,25,3,3,43,39008.744774024635,0,39008.744774024635,0,0,0,1092.72460284156
26,26,3,3,45,41052.46969522489,0,41052.46969522489,0,0,0,1134.1585126581206
27,27,2,4,47,43117.3793498025,0,43117.3793498025,0,0,0,1175.6567313731211
28,28,2,4,49,45199.649843714295,0,45199.649843714295,0,0,0,1218.5644646307258
29,29,2,4,51,47420.26128256361,0,47420.26128256361,0,0,0,1260.6539141194303
30,30,2,4,53,49703.325573264476,0,49703.325573264476,0,0,0,1302.3992564427087
31,31,2,4,55,52005.40052198375,0,52005.40052198375,0,0,0,1344.2151784136593
32,32,2,4,57,54325.3783308632,0,54325.3783308632,0,0,0,1386.121074299383
33,33,2,4,59,56646.617170933445,0,56646.617170933445,0,0,0,1428.0193350864424
34,34,2,4,61,58976.42524541541,0,58976.42524541541,0,0,0,1469.8655071675948
35,35,2,4,62,61315.38354812353,0,61315.38354812353,0,0,0,1509.6518147624513
36,36,2,4,64,63687.77704560001,0,63687.77704560001,0,0,0,1551.215980796463
37,37,2,4,66,66081.54124527257,0,66081.54124527257,0,0,0,1592.6380234076871
38,38,2,4,68,68501.75766835178,0,68501.75766835178,0,0,0,1633.8849056910158
39,39,2,4,70,70939.25583249188,0,70939.25583249188,0,0,0,1675.019830533384
40,40,2,4,72,73419.60727509749,0,73419.60727509749,0,0,0,1715.8853673045082
41,41,2,4,74,75935.05870684083,0,75935.05870684083,0,0,0,1756.5271943833457
42,42,2,4,76,78480.63632993939,0,78480.63632993939,0,0,0,1796.9799310422593
43,43,2,4,78,81042.76217158919,0,81042.76217158919,0,0,0,1837.3274533470444
44,44,2,4,79,83620.32486155425,0,83620.32486155425,0,0,0,1875.5769590488976
45,45,2,4,80,86217.76006643916,0,86217.76006643916,0,0,0,1913.701011012352
46,46,2,4,82,88827.13400879277,0,88827.13400879277,0,0,0,1953.7486491150578
47,47,1,5,84,91447.36324570609,0,91447.36324570609,0,0,0,1993.7267334646162
48,48,1,5,85,94073.06922641152,0,94073.06922641152,0,0,0,2012.770989256784
49,49,1,5,86,96704.31032069413,0,96704.31032069413,0,0,0,2031.781016154735
50,50,1,5,86,99340.61755031181,0,99340.61755031181,0,0,0,2048.7596777105928
51,51,0,6,87,101981.55009824972,0,101981.55009824972,0,0,0,2067.7096777105926
