task_id,task_type,start_time,completion_time,execution_time,assigned_to,start_point,end_point,payload,priority,time_window,status,path_distance
1,inspection,0.5,2.5,2.0,UAV,"(654, 114)","(25, 759)",1.7376319326610368,1,"(487.22363094449616, 651.050566100223)",completed,1500.0
2,inspection,0.5,N/A,N/A,UAV,"(89, 604)","(432, 32)",0.6340874874713165,5,"(19.10589817238181, 78.93154577537909)",in_progress,599.9999999999999
3,pickup,0.5,N/A,N/A,UAV,"(665, 718)","(558, 429)",1.4919827991831351,2,"(502.66036439152333, 583.6979418692222)",in_progress,90300.0
4,pickup,0.5,N/A,N/A,AGV,"(159, 220)","(980, 781)",2.0146754530068205,3,"(610.1959437701711, 730.7548484752048)",in_progress,750.0
5,delivery,0.5,N/A,N/A,AGV,"(826, 44)","(747, 470)",2.9130264115461535,1,"(397.4692545167234, 551.8799541546726)",in_progress,179700.0
6,pickup,2.5,N/A,N/A,UAV,"(633, 906)","(882, 370)",3.0980846536554294,2,"(556.6092053678582, 734.3924334669719)",in_progress,1500.0
7,delivery,N/A,N/A,N/A,None,"(875, 238)","(887, 103)",2.210568012676248,2,"(266.53029632415553, 327.9563509398787)",pending,0.0
8,pickup,N/A,N/A,N/A,None,"(273, 718)","(959, 699)",3.416159233609671,5,"(524.9712945242514, 579.4816685885407)",pending,0.0
9,delivery,172.0,N/A,N/A,UAV,"(388, 276)","(947, 655)",3.5967288129499093,1,"(164.91461181415514, 199.7296483997608)",in_progress,599.9999999999999
10,inspection,167.0,N/A,N/A,UAV,"(323, 410)","(274, 67)",1.4494227961384691,3,"(153.09111171898124, 257.97580064282283)",in_progress,599.9999999999999
