step,sim_time,event_type,task_id,uav_id,agv_id,x,y,details
0,0,TASK_ASSIGNED,5,1,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,1,2,,,,Task assigned to UAV
0,0,TASK_START,1,2,,,,Task starts execution
0,0,TASK_START,5,1,,,,Task starts execution
0,0,TASK_COMPLETE,1,2,,,,
1,1,TASK_ASSIGNED,4,2,,,,Task assigned to UAV
1,1,TASK_START,4,2,,,,Task starts execution
3,3,CHARGING_REQUEST,,1,,,,UAV requests charging
3,3,CHARGING_START,,1,1,152.55354264689504,253.01883117121312,Charging started
3,3,LOW_BATTERY,,2,,,,
4,4,CHARGING_REQUEST,,2,,,,UAV requests charging
4,4,CHARGING_START,,2,1,181.64993182920375,455.6801645191593,Charging started
16,16,CHARGING_END,,1,1,152.55354264689504,253.01883117121312,Charging ended
18,18,CHARGING_END,,2,1,181.64993182920375,455.6801645191593,Charging ended
18,18,LOW_BATTERY,,1,,,,
19,19,CHARGING_REQUEST,,1,,,,UAV requests charging
19,19,CHARGING_START,,1,1,166.76180553334103,262.8747463269193,Charging started
21,21,CHARGING_REQUEST,,2,,,,UAV requests charging
21,21,CHARGING_START,,2,1,189.98344812203493,457.95972836724087,Charging started
35,35,CHARGING_END,,1,1,166.76180553334103,262.8747463269193,Charging ended
35,35,CHARGING_END,,2,1,189.98344812203493,457.95972836724087,Charging ended
35,35,TASK_COMPLETE,5,1,,,,
36,36,TASK_ASSIGNED,2,1,,,,Task assigned to UAV
36,36,TASK_START,2,1,,,,Task starts execution
37,37,LOW_BATTERY,,1,,,,
38,38,CHARGING_REQUEST,,1,,,,UAV requests charging
38,38,CHARGING_START,,1,1,68.85172018237603,103.35357550963639,Charging started
38,38,CHARGING_REQUEST,,2,,,,UAV requests charging
38,38,CHARGING_START,,2,1,274.0936054920901,459.4852516570696,Charging started
51,51,CHARGING_END,,2,1,274.0936054920901,459.4852516570696,Charging ended
54,54,CHARGING_END,,1,1,68.85172018237603,103.35357550963639,Charging ended
54,54,CHARGING_REQUEST,,2,,,,UAV requests charging
54,54,CHARGING_START,,2,1,398.27175546770115,462.9012842222726,Charging started
57,57,CHARGING_REQUEST,,1,,,,UAV requests charging
57,57,CHARGING_START,,1,1,86.81941019999891,125.84065919677556,Charging started
67,67,CHARGING_END,,2,1,398.27175546770115,462.9012842222726,Charging ended
68,68,TASK_COMPLETE,4,2,,,,
69,69,TASK_ASSIGNED,3,2,,,,Task assigned to UAV
69,69,TASK_START,3,2,,,,Task starts execution
70,70,CHARGING_REQUEST,,2,,,,UAV requests charging
70,70,CHARGING_START,,2,1,331.72588197050203,346.81270259710374,Charging started
71,71,CHARGING_END,,1,1,86.81941019999891,125.84065919677556,Charging ended
73,73,LOW_BATTERY,,1,,,,
74,74,CHARGING_REQUEST,,1,,,,UAV requests charging
74,74,CHARGING_START,,1,1,86.3931116682291,120.21105495980534,Charging started
83,83,CHARGING_END,,2,1,331.72588197050203,346.81270259710374,Charging ended
86,86,CHARGING_REQUEST,,2,,,,UAV requests charging
86,86,CHARGING_START,,2,1,321.04178713035145,325.7477908616436,Charging started
88,88,CHARGING_END,,1,1,86.3931116682291,120.21105495980534,Charging ended
90,90,LOW_BATTERY,,1,,,,
91,91,CHARGING_REQUEST,,1,,,,UAV requests charging
91,91,CHARGING_START,,1,1,82.89209809640916,76.84551775498554,Charging started
99,99,CHARGING_END,,2,1,321.04178713035145,325.7477908616436,Charging ended
101,101,LOW_BATTERY,,2,,,,
102,102,CHARGING_REQUEST,,2,,,,UAV requests charging
102,102,CHARGING_START,,2,1,318.35817446728703,318.08024071204306,Charging started
106,106,CHARGING_END,,1,1,82.89209809640916,76.84551775498554,Charging ended
107,107,TASK_COMPLETE,2,1,,,,
116,116,CHARGING_END,,2,1,318.35817446728703,318.08024071204306,Charging ended
119,119,CHARGING_REQUEST,,2,,,,UAV requests charging
119,119,CHARGING_START,,2,1,317.0076824846624,268.61681347245917,Charging started
132,132,CHARGING_END,,2,1,317.0076824846624,268.61681347245917,Charging ended
135,135,CHARGING_REQUEST,,2,,,,UAV requests charging
135,135,CHARGING_START,,2,1,312.6547891789537,220.98515093753184,Charging started
148,148,CHARGING_END,,2,1,312.6547891789537,220.98515093753184,Charging ended
151,151,CHARGING_REQUEST,,2,,,,UAV requests charging
151,151,CHARGING_START,,2,1,306.45556532162504,196.52445340132385,Charging started
164,164,CHARGING_END,,2,1,306.45556532162504,196.52445340132385,Charging ended
164,164,TASK_COMPLETE,3,2,,,,
