step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,4,1,0,0.0,0.0,0.0,39.77857399149417,0.0,0.0,39.77857399149417
1,2,4,1,0,147.66788080081753,0.0,147.66788080081753,78.40597927915772,0.0,0.0,78.40597927915772
2,3,4,1,0,338.39587320771193,0.0,338.39587320771193,116.04032241657023,0.0,0.0,116.04032241657023
3,4,4,1,1,429.1929765890156,0.0,429.1929765890156,153.48616925897664,0.0,0.0,153.48616925897664
4,5,4,1,2,460.45661875245156,0.0,460.45661875245156,170.56808744916265,0.0,2.0,172.56808744916265
5,6,4,1,2,460.45661875245156,0.0,460.45661875245156,170.56808744916265,0.0,6.0,176.56808744916265
6,7,4,1,2,460.45661875245156,0.0,460.45661875245156,170.56808744916265,0.0,10.0,180.56808744916265
7,8,4,1,2,460.45661875245156,0.0,460.45661875245156,170.56808744916265,0.0,14.0,184.56808744916265
8,9,4,1,2,460.45661875245156,0.0,460.45661875245156,170.56808744916265,0.0,18.0,188.56808744916265
9,10,4,1,2,460.45661875245156,0.0,460.45661875245156,170.56808744916265,0.0,22.0,192.56808744916265
10,11,4,1,2,460.45661875245156,0.0,460.45661875245156,170.56808744916265,0.0,26.0,196.56808744916265
11,12,4,1,2,460.45661875245156,0.0,460.45661875245156,170.56808744916265,0.0,30.0,200.56808744916265
12,13,4,1,2,460.45661875245156,0.0,460.45661875245156,170.56808744916265,0.0,34.0,204.56808744916265
13,14,4,1,2,460.45661875245156,0.0,460.45661875245156,170.56808744916265,0.0,38.0,208.56808744916265
14,15,4,1,2,460.45661875245156,0.0,460.45661875245156,170.56808744916265,0.0,42.0,212.56808744916265
15,16,4,1,2,460.45661875245156,0.0,460.45661875245156,170.56808744916265,0.0,46.0,216.56808744916265
16,17,4,1,2,468.52326746601847,0.0,468.52326746601847,191.03863085395375,0.0,50.0,241.03863085395375
17,18,4,1,2,468.74450570346096,0.0,468.74450570346096,211.51015163939644,0.0,52.0,263.51015163939644
18,19,4,1,2,469.56400420344636,0.0,469.56400420344636,249.0587693706022,0.0,54.0,303.0587693706022
19,20,4,1,3,483.9815455266272,0.0,483.9815455266272,286.51317542615203,0.0,54.0,340.51317542615203
20,21,4,1,3,486.1378154727207,0.0,486.1378154727207,303.55101772349786,0.0,56.0,359.55101772349786
21,22,4,1,4,487.11476164235506,0.0,487.11476164235506,320.583545394411,0.0,58.0,378.583545394411
22,23,4,1,4,487.11476164235506,0.0,487.11476164235506,320.583545394411,0.0,62.0,382.583545394411
23,24,4,1,4,487.11476164235506,0.0,487.11476164235506,320.583545394411,0.0,66.0,386.583545394411
24,25,4,1,4,487.11476164235506,0.0,487.11476164235506,320.583545394411,0.0,70.0,390.583545394411
25,26,4,1,4,487.11476164235506,0.0,487.11476164235506,320.583545394411,0.0,74.0,394.583545394411
26,27,4,1,4,487.11476164235506,0.0,487.11476164235506,320.583545394411,0.0,78.0,398.583545394411
27,28,4,1,4,487.11476164235506,0.0,487.11476164235506,320.583545394411,0.0,82.0,402.583545394411
28,29,4,1,4,487.11476164235506,0.0,487.11476164235506,320.583545394411,0.0,86.0,406.583545394411
29,30,4,1,4,487.11476164235506,0.0,487.11476164235506,320.583545394411,0.0,90.0,410.583545394411
30,31,4,1,4,487.11476164235506,0.0,487.11476164235506,320.583545394411,0.0,94.0,414.583545394411
31,32,4,1,4,487.11476164235506,0.0,487.11476164235506,320.583545394411,0.0,98.0,418.583545394411
32,33,4,1,4,487.11476164235506,0.0,487.11476164235506,320.583545394411,0.0,102.0,422.583545394411
33,34,4,1,4,487.11476164235506,0.0,487.11476164235506,320.583545394411,0.0,106.0,426.583545394411
34,35,4,1,4,487.11476164235506,0.0,487.11476164235506,320.583545394411,0.0,110.0,430.583545394411
35,36,3,2,4,499.53836358779887,0.0,499.53836358779887,357.9360297178149,0.0,114.0,471.9360297178149
36,37,3,2,4,508.520026679711,0.0,508.520026679711,393.91797229883355,0.0,114.0,507.91797229883355
37,38,3,2,4,658.3319122961561,0.0,658.3319122961561,428.96915456059344,0.0,114.0,542.9691545605934
38,39,3,2,6,775.5383607132248,0.0,775.5383607132248,463.36249441665655,0.0,114.0,577.3624944166565
39,40,3,2,6,775.5383607132248,0.0,775.5383607132248,463.36249441665655,0.0,118.0,581.3624944166565
40,41,3,2,6,775.5383607132248,0.0,775.5383607132248,463.36249441665655,0.0,122.0,585.3624944166565
41,42,3,2,6,775.5383607132248,0.0,775.5383607132248,463.36249441665655,0.0,126.0,589.3624944166565
42,43,3,2,6,775.5383607132248,0.0,775.5383607132248,463.36249441665655,0.0,130.0,593.3624944166565
43,44,3,2,6,775.5383607132248,0.0,775.5383607132248,463.36249441665655,0.0,134.0,597.3624944166565
44,45,3,2,6,775.5383607132248,0.0,775.5383607132248,463.36249441665655,0.0,138.0,601.3624944166565
45,46,3,2,6,775.5383607132248,0.0,775.5383607132248,463.36249441665655,0.0,142.0,605.3624944166565
46,47,3,2,6,775.5383607132248,0.0,775.5383607132248,463.36249441665655,0.0,146.0,609.3624944166565
47,48,3,2,6,775.5383607132248,0.0,775.5383607132248,463.36249441665655,0.0,150.0,613.3624944166565
48,49,3,2,6,775.5383607132248,0.0,775.5383607132248,463.36249441665655,0.0,154.0,617.3624944166565
49,50,3,2,6,775.5383607132248,0.0,775.5383607132248,463.36249441665655,0.0,158.0,621.3624944166565
50,51,3,2,6,775.5383607132248,0.0,775.5383607132248,463.36249441665655,0.0,162.0,625.3624944166565
51,52,3,2,6,862.1474042446371,0.0,862.1474042446371,479.3919973753378,0.0,166.0,645.3919973753377
52,53,3,2,6,877.4764457316851,0.0,877.4764457316851,495.3315380729489,0.0,168.0,663.3315380729488
53,54,3,2,6,889.9999408962831,0.0,889.9999408962831,511.19758926624814,0.0,170.0,681.197589266248
54,55,3,2,7,916.8192628840513,0.0,916.8192628840513,544.9347372627184,0.0,172.0,716.9347372627183
55,56,3,2,7,934.3518823643617,0.0,934.3518823643617,562.9569277946777,0.0,174.0,736.9569277946775
56,57,3,2,7,934.9407276131636,0.0,934.9407276131636,580.9753869115855,0.0,176.0,756.9753869115854
57,58,3,2,8,940.2733664299365,0.0,940.2733664299365,598.9626152793678,0.0,178.0,776.9626152793676
58,59,3,2,8,940.2733664299365,0.0,940.2733664299365,598.9626152793678,0.0,182.0,780.9626152793676
59,60,3,2,8,940.2733664299365,0.0,940.2733664299365,598.9626152793678,0.0,186.0,784.9626152793676
60,61,3,2,8,940.2733664299365,0.0,940.2733664299365,598.9626152793678,0.0,190.0,788.9626152793676
61,62,3,2,8,940.2733664299365,0.0,940.2733664299365,598.9626152793678,0.0,194.0,792.9626152793676
62,63,3,2,8,940.2733664299365,0.0,940.2733664299365,598.9626152793678,0.0,198.0,796.9626152793676
63,64,3,2,8,940.2733664299365,0.0,940.2733664299365,598.9626152793678,0.0,202.0,800.9626152793676
64,65,3,2,8,940.2733664299365,0.0,940.2733664299365,598.9626152793678,0.0,206.0,804.9626152793676
65,66,3,2,8,940.2733664299365,0.0,940.2733664299365,598.9626152793678,0.0,210.0,808.9626152793676
66,67,3,2,8,940.2733664299365,0.0,940.2733664299365,598.9626152793678,0.0,214.0,812.9626152793676
67,68,3,2,8,943.913172910063,0.0,943.913172910063,614.7497637175371,0.0,218.0,832.7497637175369
68,69,2,3,8,946.1111938240895,0.0,946.1111938240895,630.5239941702165,0.0,220.0,850.5239941702163
69,70,2,3,8,946.1111938240895,0.0,946.1111938240895,648.3007302854303,0.0,222.0,870.3007302854301
70,71,2,3,9,1083.7934759432374,0.0,1083.7934759432374,665.2891014165276,0.0,224.0,889.2891014165274
71,72,2,3,9,1085.9074015464157,0.0,1085.9074015464157,683.26331997428,0.0,228.0,911.2633199742797
72,73,2,3,9,1086.4025304095892,0.0,1086.4025304095892,701.2360777620446,0.0,230.0,931.2360777620444
73,74,2,3,9,1086.931708626671,0.0,1086.931708626671,719.2059584894125,0.0,232.0,951.2059584894123
74,75,2,3,10,1089.8559896081044,0.0,1089.8559896081044,737.1571839052357,0.0,234.0,971.1571839052355
75,76,2,3,10,1089.8559896081044,0.0,1089.8559896081044,737.1571839052357,0.0,238.0,975.1571839052355
76,77,2,3,10,1089.8559896081044,0.0,1089.8559896081044,737.1571839052357,0.0,242.0,979.1571839052355
77,78,2,3,10,1089.8559896081044,0.0,1089.8559896081044,737.1571839052357,0.0,246.0,983.1571839052355
78,79,2,3,10,1089.8559896081044,0.0,1089.8559896081044,737.1571839052357,0.0,250.0,987.1571839052355
79,80,2,3,10,1089.8559896081044,0.0,1089.8559896081044,737.1571839052357,0.0,254.0,991.1571839052355
80,81,2,3,10,1089.8559896081044,0.0,1089.8559896081044,737.1571839052357,0.0,258.0,995.1571839052355
81,82,2,3,10,1089.8559896081044,0.0,1089.8559896081044,737.1571839052357,0.0,262.0,999.1571839052355
82,83,2,3,10,1089.8559896081044,0.0,1089.8559896081044,737.1571839052357,0.0,266.0,1003.1571839052355
83,84,2,3,10,1146.9368183116655,0.0,1146.9368183116655,753.845860574561,0.0,270.0,1023.8458605745608
84,85,2,3,10,1163.7610659915645,0.0,1163.7610659915645,770.6157127408878,0.0,272.0,1042.6157127408876
85,86,2,3,10,1181.1222492665077,0.0,1181.1222492665077,787.4745318344934,0.0,274.0,1061.4745318344933
86,87,2,3,11,1181.7732715143864,0.0,1181.7732715143864,804.329501094919,0.0,276.0,1080.329501094919
87,88,2,3,11,1181.7732715143864,0.0,1181.7732715143864,804.329501094919,0.0,280.0,1084.329501094919
88,89,2,3,11,1201.223447680696,0.0,1201.223447680696,822.1569173387727,0.0,284.0,1106.1569173387727
