experiment_type,case_name,strategy,seed,initial_task_count,completed_tasks,failed_tasks,completion_rate,task_failure_rate,total_energy,avg_energy_per_task,avg_wait_time_at_relay,on_time_rate,run_dir
seed_stability,seed_42,baseline_direct,42,5,5,0,1.0,0.0,1161.7181095837786,232.34362191675572,,1.0,results\robustness\rb_v2_seed_final\seed_stability\20260416_213411
seed_stability,seed_42,relay_coop,42,5,4,1,0.8,0.2,318.9014416400388,79.7253604100097,76.2,0.8,results\robustness\rb_v2_seed_final\seed_stability\20260416_213412
seed_stability,seed_42,energy_priority,42,5,5,0,1.0,0.0,1551.888316957023,310.3776633914046,,1.0,results\robustness\rb_v2_seed_final\seed_stability\20260416_213417
seed_stability,seed_123,baseline_direct,123,5,5,0,1.0,0.0,1447.2229121640617,289.44458243281235,,1.0,results\robustness\rb_v2_seed_final\seed_stability\20260416_213422
seed_stability,seed_123,relay_coop,123,5,4,1,0.8,0.2,345.2376687037584,86.3094171759396,76.0,0.8,results\robustness\rb_v2_seed_final\seed_stability\20260416_213422
seed_stability,seed_123,energy_priority,123,5,5,0,1.0,0.0,1632.330745548346,326.4661491096692,,0.8,results\robustness\rb_v2_seed_final\seed_stability\20260416_213426
seed_stability,seed_456,baseline_direct,456,5,5,0,1.0,0.0,1536.2993358562208,307.25986717124414,,1.0,results\robustness\rb_v2_seed_final\seed_stability\20260416_213430
seed_stability,seed_456,relay_coop,456,5,4,1,0.8,0.2,334.4586387194851,83.61465967987128,76.2,0.8,results\robustness\rb_v2_seed_final\seed_stability\20260416_213430
seed_stability,seed_456,energy_priority,456,5,5,0,1.0,0.0,1547.4325411355685,309.4865082271137,,1.0,results\robustness\rb_v2_seed_final\seed_stability\20260416_213434
seed_stability,seed_789,baseline_direct,789,5,5,0,1.0,0.0,1304.7625167180017,260.95250334360037,,1.0,results\robustness\rb_v2_seed_final\seed_stability\20260416_213437
seed_stability,seed_789,relay_coop,789,5,4,1,0.8,0.2,328.1978885870365,82.04947214675913,76.0,0.8,results\robustness\rb_v2_seed_final\seed_stability\20260416_213437
seed_stability,seed_789,energy_priority,789,5,5,0,1.0,0.0,1169.9217931087096,233.98435862174193,,1.0,results\robustness\rb_v2_seed_final\seed_stability\20260416_213439
seed_stability,seed_987,baseline_direct,987,5,5,0,1.0,0.0,1432.6173667837672,286.52347335675347,,1.0,results\robustness\rb_v2_seed_final\seed_stability\20260416_213442
seed_stability,seed_987,relay_coop,987,5,4,1,0.8,0.2,335.2186939569826,83.80467348924564,76.2,0.8,results\robustness\rb_v2_seed_final\seed_stability\20260416_213442
seed_stability,seed_987,energy_priority,987,5,5,0,1.0,0.0,1347.8519891899134,269.5703978379827,,1.0,results\robustness\rb_v2_seed_final\seed_stability\20260416_213444
