step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,1,0,0,0.0,0.0,0.0,18.645095803919556,0.0,0.0,18.645095803919556
1,2,0,1,1,220.7062512195424,0.0,220.7062512195424,35.904017316378905,0.0,0.0,35.904017316378905
2,3,0,1,1,220.7062512195424,0.0,220.7062512195424,35.904017316378905,0.0,2.0,37.904017316378905
3,4,0,1,1,220.7062512195424,0.0,220.7062512195424,35.904017316378905,0.0,4.0,39.904017316378905
4,5,0,1,1,220.7062512195424,0.0,220.7062512195424,35.904017316378905,0.0,6.0,41.904017316378905
5,6,0,1,1,220.7062512195424,0.0,220.7062512195424,35.904017316378905,0.0,8.0,43.904017316378905
6,7,0,1,1,220.7062512195424,0.0,220.7062512195424,35.904017316378905,0.0,10.0,45.904017316378905
7,8,0,1,1,220.7062512195424,0.0,220.7062512195424,35.904017316378905,0.0,12.0,47.904017316378905
8,9,0,1,1,220.7062512195424,0.0,220.7062512195424,35.904017316378905,0.0,14.0,49.904017316378905
9,10,0,1,1,220.7062512195424,0.0,220.7062512195424,35.904017316378905,0.0,16.0,51.904017316378905
