step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,5,0,0,0.0,0.0,0.0,38.936225338688345,0.0,0.0,38.936225338688345
1,2,5,0,0,285.7039019943317,0.0,285.7039019943317,76.20013167070618,0.0,0.0,76.20013167070618
2,3,5,0,0,403.6152090592765,0.0,403.6152090592765,112.7971538402963,0.0,0.0,112.7971538402963
3,4,5,0,0,472.97952919799866,0.0,472.97952919799866,149.7783031953336,0.0,0.0,149.7783031953336
4,5,5,0,1,474.35488310502456,0.0,474.35488310502456,186.75109761785052,0.0,0.0,186.75109761785052
5,6,5,0,2,480.5053527857956,0.0,480.5053527857956,203.1586872481519,0.0,2.0,205.1586872481519
6,7,5,0,2,480.5053527857956,0.0,480.5053527857956,203.1586872481519,0.0,6.0,209.1586872481519
7,8,5,0,2,480.5053527857956,0.0,480.5053527857956,203.1586872481519,0.0,10.0,213.1586872481519
8,9,5,0,2,480.5053527857956,0.0,480.5053527857956,203.1586872481519,0.0,14.0,217.1586872481519
9,10,5,0,2,480.5053527857956,0.0,480.5053527857956,203.1586872481519,0.0,18.0,221.1586872481519
10,11,5,0,2,480.5053527857956,0.0,480.5053527857956,203.1586872481519,0.0,22.0,225.1586872481519
11,12,5,0,2,480.5053527857956,0.0,480.5053527857956,203.1586872481519,0.0,26.0,229.1586872481519
12,13,5,0,2,480.5053527857956,0.0,480.5053527857956,203.1586872481519,0.0,30.0,233.1586872481519
13,14,5,0,2,480.5053527857956,0.0,480.5053527857956,203.1586872481519,0.0,34.0,237.1586872481519
14,15,5,0,2,480.5053527857956,0.0,480.5053527857956,203.1586872481519,0.0,38.0,241.1586872481519
15,16,5,0,2,480.5053527857956,0.0,480.5053527857956,203.1586872481519,0.0,42.0,245.1586872481519
16,17,5,0,2,480.5053527857956,0.0,480.5053527857956,203.1586872481519,0.0,46.0,249.1586872481519
17,18,5,0,2,485.60613802096793,0.0,485.60613802096793,223.65902941730602,0.0,50.0,273.659029417306
18,19,5,0,2,490.3099037803872,0.0,490.3099037803872,260.5392060074512,0.0,52.0,312.5392060074512
19,20,5,0,2,492.16741370016115,0.0,492.16741370016115,297.4087513946885,0.0,52.0,349.4087513946885
20,21,5,0,3,508.34967893751144,0.0,508.34967893751144,334.17999357286027,0.0,52.0,386.17999357286027
21,22,5,0,4,519.1706100643394,0.0,519.1706100643394,350.4572598407656,0.0,54.0,404.4572598407656
22,23,5,0,4,519.1706100643394,0.0,519.1706100643394,350.4572598407656,0.0,58.0,408.4572598407656
23,24,5,0,4,519.1706100643394,0.0,519.1706100643394,350.4572598407656,0.0,62.0,412.4572598407656
24,25,5,0,4,519.1706100643394,0.0,519.1706100643394,350.4572598407656,0.0,66.0,416.4572598407656
25,26,5,0,4,519.1706100643394,0.0,519.1706100643394,350.4572598407656,0.0,70.0,420.4572598407656
26,27,5,0,4,519.1706100643394,0.0,519.1706100643394,350.4572598407656,0.0,74.0,424.4572598407656
27,28,5,0,4,519.1706100643394,0.0,519.1706100643394,350.4572598407656,0.0,78.0,428.4572598407656
28,29,5,0,4,519.1706100643394,0.0,519.1706100643394,350.4572598407656,0.0,82.0,432.4572598407656
29,30,5,0,4,519.1706100643394,0.0,519.1706100643394,350.4572598407656,0.0,86.0,436.4572598407656
30,31,5,0,4,519.1706100643394,0.0,519.1706100643394,350.4572598407656,0.0,90.0,440.4572598407656
31,32,5,0,4,519.1706100643394,0.0,519.1706100643394,350.4572598407656,0.0,94.0,444.4572598407656
32,33,5,0,4,519.1706100643394,0.0,519.1706100643394,350.4572598407656,0.0,98.0,448.4572598407656
33,34,5,0,4,519.1706100643394,0.0,519.1706100643394,350.4572598407656,0.0,102.0,452.4572598407656
34,35,5,0,4,538.7683352722556,0.0,538.7683352722556,366.6190911875214,0.0,106.0,472.6190911875214
35,36,4,1,4,596.0649193469943,0.0,596.0649193469943,382.4434049212341,0.0,108.0,490.4434049212341
36,37,4,1,4,609.0695924314723,0.0,609.0695924314723,422.3114191914655,0.0,110.0,532.3114191914656
37,38,4,1,5,861.7619986826467,0.0,861.7619986826467,460.64196485694447,0.0,110.0,570.6419648569446
38,39,4,1,5,1031.7615090323507,0.0,1031.7615090323507,479.20101163845817,0.0,112.0,591.2010116384582
39,40,4,1,6,1153.2909476457385,0.0,1153.2909476457385,496.99756353912943,0.0,114.0,610.9975635391295
40,41,4,1,6,1153.2909476457385,0.0,1153.2909476457385,496.99756353912943,0.0,118.0,614.9975635391295
41,42,4,1,6,1153.2909476457385,0.0,1153.2909476457385,496.99756353912943,0.0,122.0,618.9975635391295
42,43,4,1,6,1153.2909476457385,0.0,1153.2909476457385,496.99756353912943,0.0,126.0,622.9975635391295
