step,sim_time,event_type,task_id,uav_id,agv_id,x,y,details
0,0,TASK_ASSIGNED,1,1,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,2,2,,,,Task assigned to UAV
0,0,TASK_START,1,1,,,,Task starts execution
0,0,TASK_START,2,2,,,,Task starts execution
1,1,TASK_COMPLETE,1,1,,,,
2,2,TASK_ASSIGNED,3,1,,,,Task assigned to UAV
2,2,TASK_START,3,1,,,,Task starts execution
3,3,CHARGING_REQUEST,,1,,,,UAV requests charging
3,3,CHARGING_START,,1,1,604.7366587830682,382.7841657739914,Charging started
3,3,LOW_BATTERY,,2,,,,
4,4,CHARGING_REQUEST,,2,,,,UAV requests charging
4,4,CHARGING_START,,2,1,282.891633834627,337.6502148489659,Charging started
16,16,CHARGING_END,,1,1,604.7366587830682,382.7841657739914,Charging ended
18,18,LOW_BATTERY,,1,,,,
19,19,CHARGING_END,,2,1,282.891633834627,337.6502148489659,Charging ended
19,19,CHARGING_REQUEST,,1,,,,UAV requests charging
19,19,CHARGING_START,,1,1,626.3684525683032,357.0062121444786,Charging started
22,22,CHARGING_REQUEST,,2,,,,UAV requests charging
22,22,CHARGING_START,,2,1,285.7946062398778,345.4221376030604,Charging started
34,34,CHARGING_END,,1,1,626.3684525683032,357.0062121444786,Charging ended
36,36,CHARGING_END,,2,1,285.7946062398778,345.4221376030604,Charging ended
36,36,LOW_BATTERY,,1,,,,
37,37,CHARGING_REQUEST,,1,,,,UAV requests charging
37,37,CHARGING_START,,1,1,640.1802733789798,330.90384986019717,Charging started
39,39,CHARGING_REQUEST,,2,,,,UAV requests charging
39,39,CHARGING_START,,2,1,286.3153824874116,406.14148579344095,Charging started
53,53,CHARGING_END,,1,1,640.1802733789798,330.90384986019717,Charging ended
53,53,CHARGING_END,,2,1,286.3153824874116,406.14148579344095,Charging ended
54,54,TASK_COMPLETE,3,1,,,,
55,55,TASK_ASSIGNED,4,1,,,,Task assigned to UAV
55,55,TASK_START,4,1,,,,Task starts execution
55,55,LOW_BATTERY,,1,,,,
56,56,CHARGING_REQUEST,,1,,,,UAV requests charging
56,56,CHARGING_START,,1,1,534.663103981864,365.15496799333744,Charging started
56,56,CHARGING_REQUEST,,2,,,,UAV requests charging
56,56,CHARGING_START,,2,1,289.4569819870166,551.4418031153577,Charging started
69,69,CHARGING_END,,2,1,289.4569819870166,551.4418031153577,Charging ended
72,72,CHARGING_END,,1,1,534.663103981864,365.15496799333744,Charging ended
72,72,CHARGING_REQUEST,,2,,,,UAV requests charging
72,72,CHARGING_START,,2,1,294.27388131104834,582.7725955525634,Charging started
74,74,LOW_BATTERY,,1,,,,
75,75,CHARGING_REQUEST,,1,,,,UAV requests charging
75,75,CHARGING_START,,1,1,509.85714285843665,388.4690328364521,Charging started
86,86,CHARGING_END,,2,1,294.27388131104834,582.7725955525634,Charging ended
88,88,TASK_COMPLETE,2,2,,,,
89,89,TASK_ASSIGNED,5,2,,,,Task assigned to UAV
89,89,TASK_START,5,2,,,,Task starts execution
89,89,CHARGING_REQUEST,,2,,,,UAV requests charging
89,89,CHARGING_START,,2,1,300.0,600.0,Charging started
91,91,CHARGING_END,,1,1,509.85714285843665,388.4690328364521,Charging ended
93,93,LOW_BATTERY,,1,,,,
94,94,CHARGING_REQUEST,,1,,,,UAV requests charging
94,94,CHARGING_START,,1,1,462.8571428882616,428.1631587502149,Charging started
102,102,CHARGING_END,,2,1,300.0,600.0,Charging ended
104,104,LOW_BATTERY,,2,,,,
