task_id,strategy_name,start_time,assigned_time,finish_time,execution_time,completed,on_time,deadline,uav_distance,agv_distance,wait_time_at_relay,uav_energy,agv_energy,charge_loss_energy,total_energy
1,baseline_direct,0,0,4,4,True,True,67.00128673418017,80.18088796821212,0.0,0.0,79.51516182007146,0.0,0.0,79.51516182007146
2,baseline_direct,0,0,1,1,True,True,288.9735268760145,487.57563515827985,0.0,0.0,37.619564275644805,0.0,0.0,37.619564275644805
3,baseline_direct,2,2,3,1,True,True,603.667414650472,245.93698379869588,0.0,0.0,37.07752575367141,0.0,0.0,37.07752575367141
4,baseline_direct,4,4,19,15,True,True,541.4159166037545,47.01063709417264,0.0,0.0,38.85761236752151,0.0,0.0,38.85761236752151
5,baseline_direct,5,5,21,16,True,True,179.085312972858,502.2598928841522,0.0,0.0,45.06469886502714,0.0,0.0,45.06469886502714
6,baseline_direct,20,20,21,1,True,True,181.80078526677676,51.62363799656123,0.0,0.0,38.77848532905817,0.0,0.0,38.77848532905817
7,baseline_direct,22,22,23,1,True,True,324.7956211251161,485.00412369380945,0.0,0.0,43.811657147641895,0.0,0.0,43.811657147641895
8,baseline_direct,22,22,,,False,False,145.4342738755807,0.0,0.0,0.0,20.0949303894673,0.0,0.0,20.0949303894673
9,baseline_direct,24,24,,,False,False,760.5244171923729,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,baseline_direct,,,,,False,False,494.04356017772614,0.0,0.0,0.0,0.0,0.0,0.0,0.0
