task_id,strategy_name,start_time,assigned_time,finish_time,execution_time,completed,on_time,deadline,uav_distance,agv_distance,wait_time_at_relay,uav_energy,agv_energy,charge_loss_energy,total_energy
1,energy_priority,,,,,False,False,651.050566100223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,energy_priority,0,0,1,1,True,True,78.93154577537909,64.42845231633926,0.0,0.0,32.02815685454401,0.0,0.0,32.02815685454401
3,energy_priority,,,,,False,False,583.6979418692222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,energy_priority,0,0,1,1,True,True,585.7519835753186,105.19042959861707,0.0,0.0,33.12761793210893,0.0,0.0,33.12761793210893
5,energy_priority,2,2,,,False,False,719.9493211167933,116.26690926486901,0.0,0.0,64.76213827201835,0.0,0.0,64.76213827201835
6,energy_priority,,,,,False,False,775.8013091441962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,energy_priority,,,,,False,False,617.7991725707219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,energy_priority,,,,,False,False,403.31952655044506,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,energy_priority,,,,,False,False,742.4547378005841,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,energy_priority,2,2,,,False,False,257.97580064282283,147.4793959540288,0.0,0.0,63.90193311922806,0.0,0.0,63.90193311922806
