timestamp,sender,receiver,message_type,content
0,UAV 2,Control Center,TASK_START,Start task 2
0,UAV 1,Control Center,TASK_START,Start task 4
0,UAV 1,Control Center,LOW_BATTERY,Battery level: 23.1%
0,UAV 2,Control Center,LOW_BATTERY,Battery level: 23.8%
1,UAV 1,Control Center,TASK_COMPLETE,Complete task 4
1,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 6.9%"
1,Control Center,AGV 1,CHARGING_COMMAND,Charge UAV 1
1,AGV 1,UAV 1,CHARGING_START,Start charging
1,UAV 2,Control Center,TASK_COMPLETE,Complete task 2
1,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 8.0%"
1,Control Center,AGV 1,CHARGING_COMMAND,Charge UAV 2
1,AGV 1,UAV 2,CHARGING_START,Start charging
2,UAV 1,Control Center,TASK_START,Start task 5
2,UAV 2,Control Center,TASK_START,Start task 10
18,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 17.1%"
18,Control Center,AGV 1,CHARGING_COMMAND,Charge UAV 1
18,AGV 1,UAV 1,CHARGING_START,Start charging
18,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 19.1%"
18,Control Center,AGV 1,CHARGING_COMMAND,Charge UAV 2
18,AGV 1,UAV 2,CHARGING_START,Start charging
