step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,1,0,0,0.0,10.0,10.0,0.0,0.5,0.0,0.5
1,2,1,0,0,0.0,20.0,20.0,0.0,1.0,0.0,1.0
2,3,1,0,0,0.0,30.0,30.0,0.0,1.5,0.0,1.5
3,4,1,0,0,0.0,40.0,40.0,0.0,2.0,0.0,2.0
4,5,1,0,0,0.0,50.0,50.0,0.0,2.5,0.0,2.5
5,6,1,0,0,0.0,60.0,60.0,0.0,3.0,0.0,3.0
6,7,1,0,0,0.0,70.0,70.0,0.0,3.5,0.0,3.5
7,8,1,0,0,0.0,80.0,80.0,0.0,4.0,0.0,4.0
8,9,1,0,0,0.0,90.0,90.0,0.0,4.5,0.0,4.5
9,10,1,0,0,0.0,100.0,100.0,0.0,5.0,0.0,5.0
10,11,1,0,0,0.0,110.0,110.0,0.0,5.5,0.0,5.5
11,12,1,0,0,0.0,120.0,120.0,0.0,6.0,0.0,6.0
12,13,1,0,0,0.0,130.0,130.0,0.0,6.5,0.0,6.5
13,14,1,0,0,0.0,140.0,140.0,0.0,7.0,0.0,7.0
14,15,1,0,0,0.0,150.0,150.0,0.0,7.5,0.0,7.5
15,16,1,0,0,0.0,160.0,160.0,0.0,8.0,0.0,8.0
16,17,1,0,0,0.0,170.0,170.0,0.0,8.5,0.0,8.5
17,18,1,0,0,0.0,180.0,180.0,0.0,9.0,0.0,9.0
18,19,1,0,0,0.0,190.0,190.0,0.0,9.5,0.0,9.5
19,20,1,0,0,0.0,199.99999999999997,199.99999999999997,16.725678282274302,9.999999999999998,0.0,26.725678282274302
20,21,1,0,0,85.71189447794012,199.99999999999997,285.71189447794006,33.1159856047572,9.999999999999998,0.0,43.1159856047572
21,22,1,0,0,102.85643234222755,199.99999999999997,302.85643234222755,49.42888840021731,9.999999999999998,0.0,59.42888840021731
22,23,1,0,0,105.5353481699195,199.99999999999997,305.5353481699195,65.7321126780399,9.999999999999998,0.0,75.7321126780399
23,24,1,0,0,106.17183100472238,199.99999999999997,306.1718310047223,82.03272002688281,9.999999999999998,0.0,92.03272002688281
24,25,0,1,1,106.27271951683535,199.99999999999997,306.2727195168353,98.33272002688281,9.999999999999998,0.0,108.33272002688281
25,26,0,1,1,106.27271951683535,199.99999999999997,306.2727195168353,98.33272002688281,9.999999999999998,2.0,110.33272002688281
26,27,0,1,1,106.27271951683535,199.99999999999997,306.2727195168353,98.33272002688281,9.999999999999998,4.0,112.33272002688281
27,28,0,1,1,106.27271951683535,199.99999999999997,306.2727195168353,98.33272002688281,9.999999999999998,6.0,114.33272002688281
28,29,0,1,1,106.27271951683535,199.99999999999997,306.2727195168353,98.33272002688281,9.999999999999998,8.0,116.33272002688281
29,30,0,1,1,106.27271951683535,199.99999999999997,306.2727195168353,98.33272002688281,9.999999999999998,10.0,118.33272002688281
30,31,0,1,1,106.27271951683535,199.99999999999997,306.2727195168353,98.33272002688281,9.999999999999998,12.0,120.33272002688281
31,32,0,1,1,106.27271951683535,199.99999999999997,306.2727195168353,98.33272002688281,9.999999999999998,14.0,122.33272002688281
32,33,0,1,1,106.27271951683535,199.99999999999997,306.2727195168353,98.33272002688281,9.999999999999998,16.0,124.33272002688281
33,34,0,1,1,106.27271951683535,199.99999999999997,306.2727195168353,98.33272002688281,9.999999999999998,18.0,126.33272002688281
34,35,0,1,1,106.27271951683535,199.99999999999997,306.2727195168353,98.33272002688281,9.999999999999998,20.0,128.3327200268828
35,36,0,1,1,106.27271951683535,199.99999999999997,306.2727195168353,98.33272002688281,9.999999999999998,22.0,130.3327200268828
36,37,0,1,1,106.27271951683535,199.99999999999997,306.2727195168353,98.33272002688281,9.999999999999998,24.0,132.3327200268828
37,38,0,1,1,106.27271951683535,199.99999999999997,306.2727195168353,98.33272002688281,9.999999999999998,26.0,134.3327200268828
