step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,10,0,0,0.0,0.0,0.0,36.48132623714663,0.0,0.0,36.48132623714663
1,2,9,1,0,552.3664971337881,0.0,552.3664971337881,69.6498559807518,0.0,0.0,69.6498559807518
2,3,9,1,0,565.3265509844942,0.0,565.3265509844942,104.10894716623991,0.0,0.0,104.10894716623991
3,4,9,1,0,577.3874087546594,0.0,577.3874087546594,138.51802694800236,0.0,0.0,138.51802694800236
4,5,8,2,1,579.8020017310953,0.0,579.8020017310953,172.91430404854634,0.0,0.0,172.91430404854634
5,6,8,2,2,579.8020017310953,0.0,579.8020017310953,191.13704535334335,0.0,2.0,193.13704535334335
6,7,8,2,2,579.8020017310953,0.0,579.8020017310953,191.13704535334335,0.0,6.0,197.13704535334335
7,8,8,2,2,579.8020017310953,0.0,579.8020017310953,191.13704535334335,0.0,10.0,201.13704535334335
8,9,8,2,2,579.8020017310953,0.0,579.8020017310953,191.13704535334335,0.0,14.0,205.13704535334335
9,10,8,2,2,579.8020017310953,0.0,579.8020017310953,191.13704535334335,0.0,18.0,209.13704535334335
10,11,8,2,2,579.8020017310953,0.0,579.8020017310953,191.13704535334335,0.0,22.0,213.13704535334335
11,12,8,2,2,579.8020017310953,0.0,579.8020017310953,191.13704535334335,0.0,26.0,217.13704535334335
12,13,8,2,2,579.8020017310953,0.0,579.8020017310953,191.13704535334335,0.0,30.0,221.13704535334335
13,14,8,2,2,579.8020017310953,0.0,579.8020017310953,191.13704535334335,0.0,34.0,225.13704535334335
14,15,8,2,2,579.8020017310953,0.0,579.8020017310953,191.13704535334335,0.0,38.0,229.13704535334335
15,16,8,2,2,579.8020017310953,0.0,579.8020017310953,191.13704535334335,0.0,42.0,233.13704535334335
16,17,8,2,2,579.8020017310953,0.0,579.8020017310953,191.13704535334335,0.0,46.0,237.13704535334335
17,18,8,2,2,579.8020017310953,0.0,579.8020017310953,191.13704535334335,0.0,50.0,241.13704535334335
18,19,8,2,2,579.8020017310953,0.0,579.8020017310953,191.13704535334335,0.0,54.0,245.13704535334335
19,20,8,2,2,580.1435781944257,0.0,580.1435781944257,209.70835480348626,0.0,58.0,267.70835480348626
20,21,7,3,2,580.2651042783998,0.0,580.2651042783998,228.27885767151608,0.0,60.0,288.2788576715161
21,22,6,4,2,856.0657569244731,0.0,856.0657569244731,269.0406286850381,0.0,62.0,331.04062868503814
22,23,5,5,3,1340.5830424778371,0.0,1340.5830424778371,311.874200763849,0.0,62.0,373.874200763849
23,24,4,6,3,1612.5903953196307,0.0,1612.5903953196307,332.0638002463945,0.0,64.0,396.0638002463945
24,25,4,6,4,1612.5903953196307,0.0,1612.5903953196307,352.8620521401416,0.0,66.0,418.8620521401416
25,26,4,6,4,1612.5903953196307,0.0,1612.5903953196307,352.8620521401416,0.0,70.0,422.8620521401416
26,27,4,6,4,1612.5903953196307,0.0,1612.5903953196307,352.8620521401416,0.0,74.0,426.8620521401416
27,28,4,6,4,1612.5903953196307,0.0,1612.5903953196307,352.8620521401416,0.0,78.0,430.8620521401416
28,29,4,6,4,1612.5903953196307,0.0,1612.5903953196307,352.8620521401416,0.0,82.0,434.8620521401416
29,30,4,6,4,1612.5903953196307,0.0,1612.5903953196307,352.8620521401416,0.0,86.0,438.8620521401416
