step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,10,0,0,0.0,10.0,10.0,0.0,0.5,0.0,0.5
1,2,10,0,0,0.0,20.0,20.0,0.0,1.0,0.0,1.0
2,3,10,0,0,0.0,30.0,30.0,0.0,1.5,0.0,1.5
3,4,10,0,0,0.0,40.0,40.0,0.0,2.0,0.0,2.0
4,5,10,0,0,0.0,50.0,50.0,0.0,2.5,0.0,2.5
5,6,10,0,0,0.0,60.0,60.0,0.0,3.0,0.0,3.0
6,7,10,0,0,0.0,70.0,70.0,0.0,3.5,0.0,3.5
7,8,10,0,0,0.0,74.64630972728575,74.64630972728575,16.203843120831298,3.732315486364288,0.0,19.936158607195587
8,9,9,1,1,64.42845231633926,74.64630972728575,139.07476204362501,32.02815685454401,3.732315486364288,0.0,35.7604723409083
9,10,9,1,1,64.42845231633926,84.64630972728575,149.07476204362501,32.02815685454401,4.232315486364287,2.0,38.2604723409083
10,11,9,1,1,64.42845231633926,94.64630972728575,159.07476204362501,50.67325265846357,4.732315486364287,4.0,59.40556814482785
11,12,8,2,1,285.13470353588167,104.64630972728575,389.78101326316744,67.93217417092292,5.232315486364287,6.0,79.1644896572872
12,13,8,2,1,285.13470353588167,114.64630972728575,399.78101326316744,85.47282725058966,5.732315486364287,8.0,99.20514273695395
13,14,7,3,1,500.3787510726254,124.64630972728575,625.0250607999111,101.72075736823078,6.232315486364287,10.0,117.95307285459506
14,15,7,3,1,500.3787510726254,134.64630972728577,635.0250607999112,123.65422325795804,6.732315486364287,12.0,142.3865387443223
15,16,7,3,1,597.267235327595,144.64630972728577,741.9135450548808,145.12227461755086,7.232315486364287,14.0,166.35459010391514
16,17,7,3,1,616.6456603374944,154.64630972728577,771.2919700647801,166.48289564024913,7.732315486364287,16.0,190.2152111266134
17,18,7,3,1,619.6745268980932,164.64630972728577,784.3208366253789,187.83011415970742,8.232315486364287,18.0,214.0624296460717
18,19,7,3,2,620.3952549300561,168.6225062820887,789.0177612121448,209.17367668282904,8.431125314104433,20.0,237.60480199693347
19,20,7,3,2,620.3952549300561,168.6225062820887,789.0177612121448,209.17367668282904,8.431125314104433,24.0,241.60480199693347
