step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,10,0,0,0.0,0.0,0.0,33.08353093529912,0.0,0.0,33.08353093529912
1,2,8,2,2,169.61888191495632,0.0,169.61888191495632,65.15577478665296,0.0,0.0,65.15577478665296
2,3,8,2,2,169.61888191495632,0.0,169.61888191495632,65.15577478665296,0.0,4.0,69.15577478665296
3,4,8,2,2,169.61888191495632,0.0,169.61888191495632,65.15577478665296,0.0,8.0,73.15577478665296
4,5,8,2,2,169.61888191495632,0.0,169.61888191495632,65.15577478665296,0.0,12.0,77.15577478665296
5,6,8,2,2,169.61888191495632,0.0,169.61888191495632,65.15577478665296,0.0,16.0,81.15577478665296
6,7,8,2,2,169.61888191495632,0.0,169.61888191495632,65.15577478665296,0.0,20.0,85.15577478665296
7,8,8,2,2,169.61888191495632,0.0,169.61888191495632,65.15577478665296,0.0,24.0,89.15577478665296
8,9,8,2,2,169.61888191495632,0.0,169.61888191495632,65.15577478665296,0.0,28.0,93.15577478665296
9,10,8,2,2,169.61888191495632,0.0,169.61888191495632,65.15577478665296,0.0,32.0,97.15577478665296
10,11,8,2,2,169.61888191495632,0.0,169.61888191495632,65.15577478665296,0.0,36.0,101.15577478665296
11,12,8,2,2,169.61888191495632,0.0,169.61888191495632,65.15577478665296,0.0,40.0,105.15577478665296
12,13,8,2,2,169.61888191495632,0.0,169.61888191495632,65.15577478665296,0.0,44.0,109.15577478665296
13,14,8,2,2,169.61888191495632,0.0,169.61888191495632,65.15577478665296,0.0,48.0,113.15577478665296
14,15,8,2,2,169.61888191495632,0.0,169.61888191495632,65.15577478665296,0.0,52.0,117.15577478665296
15,16,8,2,2,169.61888191495632,0.0,169.61888191495632,65.15577478665296,0.0,56.0,121.15577478665296
16,17,8,2,2,169.61888191495632,0.0,169.61888191495632,108.83146693950667,0.0,60.0,168.83146693950667
17,18,8,2,2,389.85946196353405,0.0,389.85946196353405,151.44086546632766,0.0,60.0,211.44086546632766
18,19,8,2,4,433.36518713385414,0.0,433.36518713385414,193.81984617789936,0.0,60.0,253.81984617789936
19,20,8,2,4,433.36518713385414,0.0,433.36518713385414,193.81984617789936,0.0,64.0,257.81984617789936
