step,sim_time,event_type,task_id,uav_id,agv_id,x,y,details
0,0,TASK_ASSIGNED,1,1,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,2,2,,,,Task assigned to UAV
0,0,TASK_START,1,1,,,,Task starts execution
0,0,TASK_START,2,2,,,,Task starts execution
0,0,LOW_BATTERY,,1,,,,
0,0,LOW_BATTERY,,2,,,,
1,1,TASK_COMPLETE,1,1,,,,
1,1,CHARGING_REQUEST,,1,,,,UAV requests charging
1,1,TASK_COMPLETE,2,2,,,,
1,1,CHARGING_REQUEST,,2,,,,UAV requests charging
2,2,TASK_ASSIGNED,3,1,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,4,2,,,,Task assigned to UAV
2,2,TASK_START,3,1,,,,Task starts execution
2,2,TASK_START,4,2,,,,Task starts execution
2,2,CHARGING_REQUEST,,1,,,,UAV requests charging
2,2,CHARGING_REQUEST,,2,,,,UAV requests charging
3,3,TASK_COMPLETE,3,1,,,,
3,3,CHARGING_REQUEST,,1,,,,UAV requests charging
3,3,CHARGING_REQUEST,,2,,,,UAV requests charging
4,4,TASK_ASSIGNED,5,1,,,,Task assigned to UAV
4,4,TASK_START,5,1,,,,Task starts execution
4,4,CHARGING_REQUEST,,1,,,,UAV requests charging
4,4,CHARGING_REQUEST,,2,,,,UAV requests charging
5,5,CHARGING_REQUEST,,1,,,,UAV requests charging
5,5,CHARGING_REQUEST,,2,,,,UAV requests charging
6,6,CHARGING_REQUEST,,1,,,,UAV requests charging
6,6,CHARGING_REQUEST,,2,,,,UAV requests charging
7,7,CHARGING_REQUEST,,1,,,,UAV requests charging
7,7,TASK_COMPLETE,4,2,,,,
7,7,CHARGING_REQUEST,,2,,,,UAV requests charging
8,8,TASK_ASSIGNED,6,2,,,,Task assigned to UAV
8,8,TASK_START,6,2,,,,Task starts execution
8,8,CHARGING_REQUEST,,1,,,,UAV requests charging
8,8,CHARGING_REQUEST,,2,,,,UAV requests charging
9,9,TASK_COMPLETE,5,1,,,,
9,9,CHARGING_REQUEST,,1,,,,UAV requests charging
9,9,TASK_COMPLETE,6,2,,,,
9,9,CHARGING_REQUEST,,2,,,,UAV requests charging
10,10,TASK_ASSIGNED,7,1,,,,Task assigned to UAV
10,10,TASK_ASSIGNED,8,2,,,,Task assigned to UAV
10,10,TASK_START,7,1,,,,Task starts execution
10,10,TASK_START,8,2,,,,Task starts execution
10,10,CHARGING_REQUEST,,1,,,,UAV requests charging
10,10,CHARGING_REQUEST,,2,,,,UAV requests charging
11,11,CHARGING_REQUEST,,1,,,,UAV requests charging
11,11,CHARGING_REQUEST,,2,,,,UAV requests charging
12,12,CHARGING_REQUEST,,1,,,,UAV requests charging
12,12,CHARGING_REQUEST,,2,,,,UAV requests charging
13,13,CHARGING_REQUEST,,1,,,,UAV requests charging
13,13,CHARGING_REQUEST,,2,,,,UAV requests charging
14,14,CHARGING_REQUEST,,1,,,,UAV requests charging
14,14,TASK_COMPLETE,8,2,,,,
14,14,CHARGING_REQUEST,,2,,,,UAV requests charging
15,15,TASK_ASSIGNED,9,2,,,,Task assigned to UAV
15,15,TASK_START,9,2,,,,Task starts execution
15,15,CHARGING_REQUEST,,1,,,,UAV requests charging
15,15,CHARGING_REQUEST,,2,,,,UAV requests charging
16,16,TASK_COMPLETE,7,1,,,,
16,16,CHARGING_REQUEST,,1,,,,UAV requests charging
16,16,CHARGING_REQUEST,,2,,,,UAV requests charging
17,17,TASK_ASSIGNED,10,1,,,,Task assigned to UAV
17,17,TASK_START,10,1,,,,Task starts execution
17,17,CHARGING_REQUEST,,1,,,,UAV requests charging
17,17,CHARGING_REQUEST,,2,,,,UAV requests charging
18,18,CHARGING_REQUEST,,1,,,,UAV requests charging
18,18,CHARGING_REQUEST,,2,,,,UAV requests charging
19,19,CHARGING_REQUEST,,1,,,,UAV requests charging
19,19,CHARGING_REQUEST,,2,,,,UAV requests charging
