timestamp,sender,receiver,message_type,content
0,UAV 1,Control Center,TASK_START,Start task 1
0,UAV 2,Control Center,TASK_START,Start task 2
0,UAV 1,Control Center,LOW_BATTERY,Battery level: 21.4%
0,UAV 2,Control Center,LOW_BATTERY,Battery level: 23.8%
1,UAV 1,Control Center,TASK_COMPLETE,Complete task 1
1,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 4.1%"
1,UAV 2,Control Center,TASK_COMPLETE,Complete task 2
1,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 8.0%"
2,UAV 1,Control Center,TASK_START,Start task 3
2,UAV 2,Control Center,TASK_START,Start task 4
2,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
2,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
3,UAV 1,Control Center,TASK_COMPLETE,Complete task 3
3,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
3,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
4,UAV 1,Control Center,TASK_START,Start task 5
4,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
4,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
5,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
5,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
6,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
6,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
7,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
7,UAV 2,Control Center,TASK_COMPLETE,Complete task 4
7,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
8,UAV 2,Control Center,TASK_START,Start task 6
8,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
8,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
9,UAV 1,Control Center,TASK_COMPLETE,Complete task 5
9,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
9,UAV 2,Control Center,TASK_COMPLETE,Complete task 6
9,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
10,UAV 1,Control Center,TASK_START,Start task 7
10,UAV 2,Control Center,TASK_START,Start task 8
10,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
10,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
11,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
11,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
12,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
12,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
13,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
13,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
14,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
14,UAV 2,Control Center,TASK_COMPLETE,Complete task 8
14,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
15,UAV 2,Control Center,TASK_START,Start task 9
15,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
15,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
16,UAV 1,Control Center,TASK_COMPLETE,Complete task 7
16,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
16,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
17,UAV 1,Control Center,TASK_START,Start task 10
17,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
17,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
18,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
18,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
19,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
19,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
