step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,1,0,1,0.0,0.0,0.0,18.645095803919556,0.0,0.0,18.645095803919556
1,2,1,0,1,0.0,0.0,0.0,18.645095803919556,0.0,2.0,20.645095803919556
2,3,1,0,1,0.0,0.0,0.0,18.645095803919556,0.0,4.0,22.645095803919556
3,4,1,0,1,0.0,0.0,0.0,18.645095803919556,0.0,6.0,24.645095803919556
4,5,1,0,1,0.0,0.0,0.0,18.645095803919556,0.0,8.0,26.645095803919556
5,6,1,0,1,0.0,0.0,0.0,18.645095803919556,0.0,10.0,28.645095803919556
6,7,1,0,1,0.0,0.0,0.0,18.645095803919556,0.0,12.0,30.645095803919556
7,8,1,0,1,0.0,0.0,0.0,18.645095803919556,0.0,14.0,32.64509580391956
8,9,1,0,1,0.0,0.0,0.0,18.645095803919556,0.0,16.0,34.64509580391956
9,10,1,0,1,0.0,0.0,0.0,18.645095803919556,0.0,18.0,36.64509580391956
