task_id,strategy_name,start_time,assigned_time,finish_time,execution_time,completed,on_time,deadline,uav_distance,agv_distance,wait_time_at_relay,uav_energy,agv_energy,charge_loss_energy,total_energy
1,relay_coop,,0,,,False,False,67.00128673418017,0.0,0.0,30.0,0.0,0.0,0.0,0.0
2,relay_coop,21,1,21,0,True,True,288.9735268760145,487.57563515827985,0.0,20.0,37.619564275644805,0.0,0.0,37.619564275644805
3,relay_coop,,22,,,False,False,603.667414650472,0.0,0.0,8.0,0.0,0.0,0.0,0.0
4,relay_coop,,,,,False,False,541.4159166037545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,relay_coop,,,,,False,False,179.085312972858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,relay_coop,,,,,False,False,181.80078526677676,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,relay_coop,,,,,False,False,324.7956211251161,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,relay_coop,,,,,False,False,145.4342738755807,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,relay_coop,,,,,False,False,760.5244171923729,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,relay_coop,,,,,False,False,494.04356017772614,0.0,0.0,0.0,0.0,0.0,0.0,0.0
