step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,10,0,0,0.0,10.0,10.0,0.0,0.5,0.0,0.5
1,2,10,0,0,0.0,20.0,20.0,0.0,1.0,0.0,1.0
2,3,10,0,0,0.0,30.0,30.0,0.0,1.5,0.0,1.5
3,4,10,0,0,0.0,40.0,40.0,0.0,2.0,0.0,2.0
4,5,10,0,0,0.0,50.0,50.0,0.0,2.5,0.0,2.5
5,6,10,0,0,0.0,60.0,60.0,0.0,3.0,0.0,3.0
6,7,10,0,0,0.0,70.0,70.0,0.0,3.5,0.0,3.5
7,8,10,0,0,0.0,80.0,80.0,0.0,4.0,0.0,4.0
8,9,10,0,0,0.0,90.0,90.0,0.0,4.5,0.0,4.5
9,10,10,0,0,0.0,100.0,100.0,0.0,5.0,0.0,5.0
10,11,10,0,0,0.0,110.0,110.0,0.0,5.5,0.0,5.5
11,12,10,0,0,0.0,120.0,120.0,0.0,6.0,0.0,6.0
12,13,10,0,0,0.0,130.0,130.0,0.0,6.5,0.0,6.5
13,14,10,0,0,0.0,130.23008839942116,130.23008839942116,36.48132623714663,6.5115044199710574,0.0,42.99283065711769
14,15,9,1,0,552.3664971337881,130.23008839942116,682.5965855332092,69.6498559807518,6.5115044199710574,0.0,76.16136040072286
15,16,9,1,0,565.3265509844942,140.23008839942116,705.5566393839154,85.48371327850995,7.0115044199710574,0.0,92.49521769848101
16,17,9,1,0,567.3515890164301,150.23008839942116,717.5816774158513,101.31041236200355,7.5115044199710574,0.0,108.82191678197461
17,18,8,2,0,567.756523126492,160.23008839942116,727.9866115259131,117.13472609571626,8.011504419971057,0.0,125.14623051568732
18,19,8,2,0,567.756523126492,170.23008839942116,737.9866115259131,117.13472609571626,8.511504419971057,0.0,125.64623051568732
19,20,8,2,0,567.756523126492,180.23008839942116,747.9866115259131,117.13472609571626,9.011504419971057,0.0,126.14623051568732
20,21,8,2,0,567.756523126492,190.23008839942116,757.9866115259131,117.13472609571626,9.511504419971057,0.0,126.64623051568732
21,22,8,2,0,567.756523126492,200.23008839942116,767.9866115259131,117.13472609571626,10.011504419971057,0.0,127.14623051568732
22,23,8,2,0,567.756523126492,210.23008839942116,777.9866115259131,117.13472609571626,10.511504419971057,0.0,127.64623051568732
23,24,8,2,0,567.756523126492,220.23008839942116,787.9866115259131,117.13472609571626,11.011504419971057,0.0,128.1462305156873
24,25,8,2,1,567.756523126492,225.95215028090706,793.708673407399,157.57168109922625,11.297607514045353,0.0,168.86928861327158
25,26,7,3,1,813.6935069251879,225.95215028090706,1039.645657206095,175.32171047506134,11.297607514045353,2.0,188.61931798910666
26,27,7,3,1,813.6935069251879,235.95215028090706,1049.645657206095,175.32171047506134,11.797607514045353,4.0,191.11931798910666
27,28,7,3,1,813.6935069251879,245.95215028090706,1059.645657206095,175.32171047506134,12.297607514045353,6.0,193.61931798910666
28,29,7,3,1,813.6935069251879,255.95215028090706,1069.645657206095,175.32171047506134,12.797607514045353,8.0,196.11931798910666
29,30,7,3,1,813.6935069251879,265.95215028090706,1079.645657206095,175.32171047506134,13.297607514045353,10.0,198.61931798910666
