step,sim_time,event_type,task_id,uav_id,agv_id,x,y,details
0,0,TASK_ASSIGNED,1,1,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,2,2,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,3,3,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,4,4,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,5,5,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,6,6,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,7,7,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,8,8,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,9,9,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,10,10,,,,Task assigned to UAV
0,0,TASK_START,1,1,,,,Task starts execution
0,0,TASK_START,2,2,,,,Task starts execution
0,0,TASK_START,3,3,,,,Task starts execution
0,0,TASK_START,4,4,,,,Task starts execution
0,0,TASK_START,5,5,,,,Task starts execution
0,0,TASK_START,6,6,,,,Task starts execution
0,0,TASK_START,7,7,,,,Task starts execution
0,0,TASK_START,8,8,,,,Task starts execution
0,0,TASK_START,9,9,,,,Task starts execution
0,0,TASK_START,10,10,,,,Task starts execution
2,2,LOW_BATTERY,,2,,,,
2,2,LOW_BATTERY,,4,,,,
2,2,LOW_BATTERY,,6,,,,
2,2,CHARGING_REQUEST,,7,,,,UAV requests charging
2,2,CHARGING_START,,7,1,598.1428571428535,805.9492753383734,Charging started
2,2,LOW_BATTERY,,10,,,,
3,3,CHARGING_REQUEST,,2,,,,UAV requests charging
3,3,CHARGING_START,,2,1,622.8571459342489,950.4442997616491,Charging started
3,3,LOW_BATTERY,,3,,,,
3,3,CHARGING_REQUEST,,4,,,,UAV requests charging
3,3,CHARGING_START,,4,1,506.0697530127528,920.3140013342784,Charging started
3,3,LOW_BATTERY,,5,,,,
3,3,CHARGING_REQUEST,,6,,,,UAV requests charging
3,3,CHARGING_START,,6,1,472.1428567570639,872.2875610143284,Charging started
3,3,LOW_BATTERY,,8,,,,
3,3,LOW_BATTERY,,9,,,,
3,3,CHARGING_REQUEST,,10,,,,UAV requests charging
3,3,CHARGING_START,,10,1,939.8087163962375,1272.3498687958518,Charging started
4,4,TASK_COMPLETE,1,1,,,,
4,4,CHARGING_REQUEST,,1,,,,UAV requests charging
4,4,CHARGING_START,,1,1,868.0,1026.0,Charging started
4,4,TASK_COMPLETE,3,3,,,,
4,4,CHARGING_REQUEST,,3,,,,UAV requests charging
4,4,CHARGING_START,,3,1,1762.0,202.0,Charging started
4,4,CHARGING_REQUEST,,5,,,,UAV requests charging
4,4,CHARGING_START,,5,1,359.10226249308994,726.4618230875083,Charging started
4,4,CHARGING_REQUEST,,8,,,,UAV requests charging
4,4,CHARGING_START,,8,1,741.2491589156162,931.0172393336495,Charging started
4,4,CHARGING_REQUEST,,9,,,,UAV requests charging
4,4,CHARGING_START,,9,1,739.898517675442,1163.3801289645712,Charging started
5,5,TASK_ASSIGNED,11,1,,,,Task assigned to UAV
5,5,TASK_ASSIGNED,12,3,,,,Task assigned to UAV
5,5,TASK_START,11,1,,,,Task starts execution
5,5,TASK_START,12,3,,,,Task starts execution
15,15,CHARGING_END,,7,1,598.1428571428535,805.9492753383734,Charging ended
17,17,CHARGING_END,,1,1,868.0,1026.0,Charging ended
17,17,CHARGING_REQUEST,,7,,,,UAV requests charging
17,17,CHARGING_START,,7,1,656.1428571428532,749.204440911774,Charging started
18,18,CHARGING_END,,3,1,1762.0,202.0,Charging ended
