step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,50,0,0,0.0,0.0,0.0,236.24480600251343,0.0,0.0,236.24480600251343
1,2,50,0,0,3343.6823277992594,0.0,3343.6823277992594,450.6526523666196,0.0,0.0,450.6526523666196
2,3,50,0,1,4018.650027572018,0.0,4018.650027572018,661.243445655344,0.0,0.0,661.243445655344
3,4,50,0,5,4254.030955321223,0.0,4254.030955321223,845.0178238889146,0.0,2.0,847.0178238889146
4,5,48,2,10,4302.334854569861,0.0,4302.334854569861,933.0796926093765,0.0,12.0,945.0796926093765
5,6,48,2,10,4302.334854569861,0.0,4302.334854569861,933.0796926093765,0.0,32.0,965.0796926093765
6,7,48,2,10,4302.334854569861,0.0,4302.334854569861,933.0796926093765,0.0,52.0,985.0796926093765
7,8,48,2,10,4302.334854569861,0.0,4302.334854569861,933.0796926093765,0.0,72.0,1005.0796926093765
8,9,48,2,10,4302.334854569861,0.0,4302.334854569861,933.0796926093765,0.0,92.0,1025.0796926093765
9,10,48,2,10,4302.334854569861,0.0,4302.334854569861,933.0796926093765,0.0,112.0,1045.0796926093765
10,11,48,2,10,4302.334854569861,0.0,4302.334854569861,933.0796926093765,0.0,132.0,1065.0796926093765
11,12,48,2,10,4302.334854569861,0.0,4302.334854569861,933.0796926093765,0.0,152.0,1085.0796926093765
12,13,48,2,10,4302.334854569861,0.0,4302.334854569861,933.0796926093765,0.0,172.0,1105.0796926093765
13,14,48,2,10,4302.334854569861,0.0,4302.334854569861,933.0796926093765,0.0,192.0,1125.0796926093765
14,15,48,2,10,4302.334854569861,0.0,4302.334854569861,933.0796926093765,0.0,212.0,1145.0796926093765
15,16,48,2,10,4338.939330929069,0.0,4338.939330929069,959.0833130722674,0.0,232.0,1191.0833130722674
16,17,48,2,10,4365.495573023916,0.0,4365.495573023916,984.9250874224108,0.0,250.0,1234.9250874224108
17,18,48,2,11,4383.478548097915,0.0,4383.478548097915,1035.631951503031,0.0,268.0,1303.631951503031
18,19,48,2,11,5186.172428147511,0.0,5186.172428147511,1108.0866273461859,0.0,286.0,1394.0866273461859
19,20,48,2,12,5486.262017342169,0.0,5486.262017342169,1287.1857836514662,0.0,300.0,1587.1857836514662
20,21,48,2,14,5652.7300004676845,0.0,5652.7300004676845,1462.9846593479601,0.0,306.0,1768.9846593479601
21,22,48,2,17,5719.777819674666,0.0,5719.777819674666,1587.3746034545534,0.0,314.0,1901.3746034545534
