task_id,strategy_name,start_time,assigned_time,finish_time,execution_time,completed,on_time,deadline,uav_distance,agv_distance,wait_time_at_relay,uav_energy,agv_energy,charge_loss_energy,total_energy
1,baseline_direct,0,,4,4,True,True,599.4733667333736,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,baseline_direct,0,,,,False,False,86.73921283003583,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,baseline_direct,0,,4,4,True,True,208.91512428769346,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,baseline_direct,0,,,,False,False,386.9977440299273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,baseline_direct,0,,37,37,True,True,677.7047569974563,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,baseline_direct,0,,,,False,False,629.904947842217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,baseline_direct,0,,,,False,False,755.7832068961405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,baseline_direct,0,,,,False,False,689.8253385473718,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,baseline_direct,0,,38,38,True,True,853.0823332976648,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,baseline_direct,0,,,,False,False,518.0882452355844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,baseline_direct,5,,,,False,False,273.16066394620174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,baseline_direct,5,,,,False,False,838.0575312291332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,baseline_direct,38,,,,False,False,572.596460382932,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,baseline_direct,39,,,,False,False,916.9345743285885,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,baseline_direct,,,,,False,False,387.9235577090001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,baseline_direct,,,,,False,False,153.84807243037352,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,baseline_direct,,,,,False,False,400.1056842111069,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,baseline_direct,,,,,False,False,607.5250543323709,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,baseline_direct,,,,,False,False,578.9929076496989,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,baseline_direct,,,,,False,False,528.8731905853873,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,baseline_direct,,,,,False,False,457.38822351408277,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,baseline_direct,,,,,False,False,345.1740539479643,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,baseline_direct,,,,,False,False,301.7326113633401,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,baseline_direct,,,,,False,False,87.12935158792749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,baseline_direct,,,,,False,False,710.8225349589131,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,baseline_direct,,,,,False,False,250.0990928338982,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,baseline_direct,,,,,False,False,533.0107214575098,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,baseline_direct,,,,,False,False,275.6049990742796,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,baseline_direct,,,,,False,False,815.3641265106103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,baseline_direct,,,,,False,False,283.29323545691625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,baseline_direct,,,,,False,False,348.9270146893605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,baseline_direct,,,,,False,False,416.9774466917943,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,baseline_direct,,,,,False,False,139.0479722574371,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,baseline_direct,,,,,False,False,445.36758277812345,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,baseline_direct,,,,,False,False,311.3916092004299,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,baseline_direct,,,,,False,False,779.2775035497154,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,baseline_direct,,,,,False,False,542.4984380227752,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,baseline_direct,,,,,False,False,559.8582289847985,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,baseline_direct,,,,,False,False,99.27614929399103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,baseline_direct,,,,,False,False,524.7355623210386,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,baseline_direct,,,,,False,False,581.7308376671722,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,baseline_direct,,,,,False,False,311.6471306766417,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,baseline_direct,,,,,False,False,229.49742014667675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,baseline_direct,,,,,False,False,367.9693196323787,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,baseline_direct,,,,,False,False,174.90031598721544,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,baseline_direct,,,,,False,False,384.73180196309323,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,baseline_direct,,,,,False,False,304.5355033131124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,baseline_direct,,,,,False,False,444.62969009861365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,baseline_direct,,,,,False,False,830.4382070838122,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,baseline_direct,,,,,False,False,464.8300611073987,0.0,0.0,0.0,0.0,0.0,0.0,0.0
