step,sim_time,event_type,task_id,uav_id,agv_id,x,y,details
0,0,AGV_MOVE_START,1,,1,140,125,AGV starts moving to relay point
0,0,TASK_ASSIGNED,1,1,1,,,Task assigned to UAV
0,0,RELAY_REQUEST,1,,1,,,Relay support requested for task
0,0,WAIT_FOR_AGV_START,1,1,,,,Task starts waiting for AGV
1,1,TASK_ASSIGNED,2,2,1,,,Task assigned to UAV
1,1,RELAY_REQUEST,2,,1,,,Relay support requested for task
1,1,WAIT_FOR_AGV_START,2,2,,,,Task starts waiting for AGV
20,20,AGV_ARRIVE_RELAY,2,,1,339.5675648097948,59.648076215150574,AGV arrived at relay point
20,20,RELAY_COOP_START,2,2,1,,,
21,21,WAIT_FOR_AGV_END,2,2,,,,Task stops waiting for AGV
21,21,TASK_COMPLETE,2,2,,,,
22,22,AGV_MOVE_START,3,,1,339.5675648097948,59.648076215150574,AGV starts moving to relay point
22,22,TASK_ASSIGNED,3,2,1,,,Task assigned to UAV
22,22,RELAY_REQUEST,3,,1,,,Relay support requested for task
22,22,WAIT_FOR_AGV_START,3,2,,,,Task starts waiting for AGV
41,41,AGV_ARRIVE_RELAY,3,,1,146.2593135351088,110.95031777556241,AGV arrived at relay point
41,41,RELAY_COOP_START,3,2,1,,,
42,42,WAIT_FOR_AGV_END,3,2,,,,Task stops waiting for AGV
42,42,TASK_COMPLETE,3,2,,,,
42,42,LOW_BATTERY,,2,,,,
43,43,AGV_MOVE_START,4,,1,146.2593135351088,110.95031777556241,AGV starts moving to relay point
43,43,TASK_ASSIGNED,4,2,1,,,Task assigned to UAV
43,43,RELAY_REQUEST,4,,1,,,Relay support requested for task
43,43,WAIT_FOR_AGV_START,4,2,,,,Task starts waiting for AGV
43,43,LOW_BATTERY,,2,,,,
44,44,LOW_BATTERY,,2,,,,
45,45,LOW_BATTERY,,2,,,,
46,46,LOW_BATTERY,,2,,,,
47,47,LOW_BATTERY,,2,,,,
48,48,LOW_BATTERY,,2,,,,
49,49,LOW_BATTERY,,2,,,,
