step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,10,0,0,0.0,10.0,10.0,0.0,0.5,0.0,0.5
1,2,10,0,0,0.0,20.0,20.0,0.0,1.0,0.0,1.0
2,3,10,0,0,0.0,30.0,30.0,0.0,1.5,0.0,1.5
3,4,10,0,0,0.0,40.0,40.0,0.0,2.0,0.0,2.0
4,5,10,0,0,0.0,50.0,50.0,0.0,2.5,0.0,2.5
5,6,10,0,0,0.0,60.0,60.0,0.0,3.0,0.0,3.0
6,7,10,0,0,0.0,70.0,70.0,0.0,3.5,0.0,3.5
7,8,10,0,0,0.0,80.0,80.0,0.0,4.0,0.0,4.0
8,9,10,0,0,0.0,90.0,90.0,0.0,4.5,0.0,4.5
9,10,10,0,0,0.0,100.0,100.0,0.0,5.0,0.0,5.0
10,11,10,0,0,0.0,110.0,110.0,0.0,5.5,0.0,5.5
11,12,10,0,0,0.0,120.0,120.0,0.0,6.0,0.0,6.0
12,13,10,0,0,0.0,130.0,130.0,0.0,6.5,0.0,6.5
13,14,10,0,0,0.0,130.23008839942116,130.23008839942116,36.48132623714663,6.5115044199710574,0.0,42.99283065711769
14,15,9,1,0,552.3664971337881,130.23008839942116,682.5965855332092,69.6498559807518,6.5115044199710574,0.0,76.16136040072286
15,16,9,1,0,565.3265509844942,140.23008839942116,705.5566393839154,85.48371327850995,7.0115044199710574,0.0,92.49521769848101
16,17,9,1,0,567.3515890164301,150.23008839942116,717.5816774158513,101.31041236200355,7.5115044199710574,0.0,108.82191678197461
17,18,8,2,0,567.756523126492,160.23008839942116,727.9866115259131,117.13472609571626,8.011504419971057,0.0,125.14623051568732
18,19,8,2,0,567.756523126492,170.23008839942116,737.9866115259131,117.13472609571626,8.511504419971057,0.0,125.64623051568732
19,20,8,2,0,567.756523126492,180.23008839942116,747.9866115259131,117.13472609571626,9.011504419971057,0.0,126.14623051568732
20,21,8,2,0,567.756523126492,190.23008839942116,757.9866115259131,117.13472609571626,9.511504419971057,0.0,126.64623051568732
21,22,8,2,0,567.756523126492,200.23008839942116,767.9866115259131,117.13472609571626,10.011504419971057,0.0,127.14623051568732
22,23,8,2,0,567.756523126492,210.23008839942116,777.9866115259131,117.13472609571626,10.511504419971057,0.0,127.64623051568732
23,24,8,2,0,567.756523126492,220.23008839942116,787.9866115259131,117.13472609571626,11.011504419971057,0.0,128.1462305156873
24,25,8,2,1,567.756523126492,225.95215028090706,793.708673407399,157.57168109922625,11.297607514045353,0.0,168.86928861327158
25,26,7,3,1,813.6935069251879,225.95215028090706,1039.645657206095,175.32171047506134,11.297607514045353,2.0,188.61931798910666
26,27,7,3,1,813.6935069251879,235.95215028090706,1049.645657206095,175.32171047506134,11.797607514045353,4.0,191.11931798910666
27,28,7,3,1,813.6935069251879,245.95215028090706,1059.645657206095,175.32171047506134,12.297607514045353,6.0,193.61931798910666
28,29,7,3,1,813.6935069251879,255.95215028090706,1069.645657206095,175.32171047506134,12.797607514045353,8.0,196.11931798910666
29,30,7,3,1,813.6935069251879,265.95215028090706,1079.645657206095,175.32171047506134,13.297607514045353,10.0,198.61931798910666
30,31,7,3,1,813.6935069251879,275.95215028090706,1089.645657206095,175.32171047506134,13.797607514045353,12.0,201.11931798910666
31,32,7,3,1,813.6935069251879,285.95215028090706,1099.645657206095,175.32171047506134,14.297607514045353,14.0,203.61931798910666
32,33,7,3,1,813.6935069251879,295.95215028090706,1109.645657206095,175.32171047506134,14.797607514045353,16.0,206.11931798910666
33,34,7,3,1,813.6935069251879,305.95215028090706,1119.645657206095,175.32171047506134,15.297607514045353,18.0,208.61931798910666
34,35,7,3,1,813.6935069251879,315.95215028090706,1129.645657206095,175.32171047506134,15.797607514045353,20.0,211.11931798910666
35,36,7,3,1,813.6935069251879,325.95215028090706,1139.645657206095,175.32171047506134,16.297607514045353,22.0,213.61931798910666
36,37,7,3,1,813.6935069251879,335.95215028090706,1149.645657206095,175.32171047506134,16.797607514045353,24.0,216.11931798910666
37,38,7,3,1,813.6935069251879,345.95215028090706,1159.645657206095,175.32171047506134,17.297607514045353,26.0,218.61931798910666
38,39,7,3,1,813.6935069251879,355.95215028090706,1169.645657206095,175.32171047506134,17.797607514045353,28.0,221.11931798910666
39,40,7,3,1,813.6935069251879,365.95215028090706,1179.645657206095,175.32171047506134,18.297607514045353,30.0,223.61931798910666
40,41,6,4,1,1083.3840703492722,375.95215028090706,1459.3362206301792,194.5900510263922,18.797607514045353,32.0,245.3876585404375
41,42,6,4,1,1083.3840703492722,385.95215028090706,1469.3362206301792,194.5900510263922,19.297607514045353,32.0,245.8876585404375
42,43,6,4,1,1083.3840703492722,395.95215028090706,1479.3362206301792,194.5900510263922,19.797607514045353,32.0,246.3876585404375
43,44,6,4,1,1083.3840703492722,405.95215028090706,1489.3362206301792,194.5900510263922,20.297607514045353,32.0,246.8876585404375
44,45,6,4,1,1083.3840703492722,415.95215028090706,1499.3362206301792,194.5900510263922,20.797607514045353,32.0,247.3876585404375
45,46,6,4,2,1083.3840703492722,424.18293481579997,1507.5670051650723,236.98684300208436,21.209146740789997,32.0,290.1959897428743
46,47,5,5,2,1135.0077083458334,424.18293481579997,1559.1906431616335,256.2002593852362,21.209146740789997,34.0,311.40940612602617
47,48,5,5,2,1135.0077083458334,434.18293481579997,1569.1906431616335,256.2002593852362,21.709146740789997,36.0,313.90940612602617
48,49,5,5,2,1135.0077083458334,444.18293481579997,1579.1906431616335,256.2002593852362,22.209146740789997,38.0,316.40940612602617
