timestamp,sender,receiver,message_type,content
0,UAV 2,Control Center,TASK_START,Start task 2
0,UAV 1,Control Center,TASK_START,Start task 4
1,UAV 1,Control Center,TASK_COMPLETE,Complete task 4
1,UAV 2,Control Center,TASK_COMPLETE,Complete task 2
2,UAV 1,Control Center,TASK_START,Start task 5
2,UAV 2,Control Center,TASK_START,Start task 10
7,UAV 1,Control Center,TASK_COMPLETE,Complete task 5
7,UAV 2,Control Center,TASK_COMPLETE,Complete task 10
8,UAV 1,Control Center,TASK_START,Start task 3
8,UAV 2,Control Center,TASK_START,Start task 7
13,UAV 1,Control Center,TASK_COMPLETE,Complete task 3
13,UAV 2,Control Center,TASK_COMPLETE,Complete task 7
14,UAV 2,Control Center,TASK_START,Start task 8
14,UAV 1,Control Center,TASK_START,Start task 9
18,UAV 1,Control Center,TASK_COMPLETE,Complete task 9
19,UAV 1,Control Center,TASK_START,Start task 1
19,UAV 2,Control Center,TASK_COMPLETE,Complete task 8
