step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,10,0,0,0.0,0.0,0.0,0.8906435395601511,0.0,0.0,0.8906435395601511
1,2,8,2,0,169.61888191495632,0.0,169.61888191495632,0.8906435395601511,0.0,0.0,0.8906435395601511
2,3,8,2,0,169.61888191495632,0.0,169.61888191495632,2.0638178941448535,0.0,0.0,2.0638178941448535
3,4,8,2,0,389.85946196353405,0.0,389.85946196353405,2.3042259441711828,0.0,0.0,2.3042259441711828
4,5,8,2,0,433.36518713385414,0.0,433.36518713385414,2.3430726903300134,0.0,0.0,2.3430726903300134
5,6,8,2,0,440.34875507600333,0.0,440.34875507600333,2.3490467405293773,0.0,0.0,2.3490467405293773
6,7,8,2,0,441.873774607651,0.0,441.873774607651,2.3528662806625613,0.0,0.0,2.3528662806625613
7,8,6,4,0,442.4707583677534,0.0,442.4707583677534,2.3528662806625613,0.0,0.0,2.3528662806625613
8,9,6,4,0,442.4707583677534,0.0,442.4707583677534,3.690779380277055,0.0,0.0,3.690779380277055
9,10,6,4,0,707.8904251321981,0.0,707.8904251321981,3.9425318282031236,0.0,0.0,3.9425318282031236
10,11,6,4,0,759.3999508828573,0.0,759.3999508828573,3.999108596941943,0.0,0.0,3.999108596941943
11,12,6,4,0,768.0731610512372,0.0,768.0731610512372,4.010160409735544,0.0,0.0,4.010160409735544
12,13,6,4,0,769.6515302819699,0.0,769.6515302819699,4.024163131336365,0.0,0.0,4.024163131336365
13,14,4,6,0,771.8983274172882,0.0,771.8983274172882,4.024163131336365,0.0,0.0,4.024163131336365
14,15,4,6,0,771.8983274172882,0.0,771.8983274172882,4.924691843090459,0.0,0.0,4.924691843090459
15,16,4,6,0,950.8240962502076,0.0,950.8240962502076,5.103203552491623,0.0,0.0,5.103203552491623
16,17,4,6,0,985.8671882429105,0.0,985.8671882429105,5.1361374389061565,0.0,0.0,5.1361374389061565
17,18,4,6,0,991.6147262578813,0.0,991.6147262578813,5.140131228983194,0.0,0.0,5.140131228983194
18,19,3,7,0,992.6994431312226,0.0,992.6994431312226,5.145033460964988,0.0,0.0,5.145033460964988
19,20,2,8,0,993.5154997130485,0.0,993.5154997130485,6.195312780293449,0.0,0.0,6.195312780293449
