task_id,strategy_name,start_time,assigned_time,finish_time,execution_time,completed,on_time,deadline,uav_distance,agv_distance,wait_time_at_relay,uav_energy,agv_energy,charge_loss_energy,total_energy
1,baseline_direct,0,0,1,1,True,True,651.050566100223,220.7062512195424,0.0,0.0,35.904017316378905,0.0,0.0,35.904017316378905
2,baseline_direct,0,0,1,1,True,True,78.93154577537909,64.42845231633926,0.0,0.0,32.02815685454401,0.0,0.0,32.02815685454401
3,baseline_direct,2,2,3,1,True,True,583.6979418692222,156.24659996300718,0.0,0.0,34.84692076898325,0.0,0.0,34.84692076898325
4,baseline_direct,2,2,7,5,True,True,585.7519835753186,174.2973131839433,0.0,0.0,98.36187638159649,0.0,0.0,98.36187638159649
5,baseline_direct,4,4,9,5,True,True,719.9493211167933,113.96555747273496,0.0,0.0,128.75843969556226,0.0,0.0,128.75843969556226
6,baseline_direct,8,8,9,1,True,True,775.8013091441962,173.64331256918592,0.0,0.0,33.14765467813602,0.0,0.0,33.14765467813602
7,baseline_direct,10,10,16,6,True,True,617.7991725707219,186.37109215949837,0.0,0.0,145.18400680637183,0.0,0.0,145.18400680637183
8,baseline_direct,10,10,14,4,True,True,403.31952655044506,59.73680007130412,0.0,0.0,97.1642595720347,0.0,0.0,97.1642595720347
9,baseline_direct,15,15,,,False,False,742.4547378005841,221.6164370770653,0.0,0.0,99.86422408057925,0.0,0.0,99.86422408057925
10,baseline_direct,17,17,,,False,False,257.97580064282283,206.64515249222603,0.0,0.0,64.29183309985126,0.0,0.0,64.29183309985126
