step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,10,0,0,0.0,0.0,0.0,34.848938924750854,0.0,0.0,34.848938924750854
1,2,8,2,0,285.13470353588167,0.0,285.13470353588167,67.93217417092292,0.0,0.0,67.93217417092292
2,3,8,2,0,285.13470353588167,0.0,285.13470353588167,102.78920701150535,0.0,0.0,102.78920701150535
3,4,7,3,0,582.1485827048848,0.0,582.1485827048848,136.12038323320422,0.0,0.0,136.12038323320422
4,5,7,3,0,609.9002445116932,0.0,609.9002445116932,174.2959260927746,0.0,0.0,174.2959260927746
5,6,7,3,0,706.3559107047863,0.0,706.3559107047863,212.00838250917144,0.0,0.0,212.00838250917144
6,7,7,3,0,725.6270440753584,0.0,725.6270440753584,249.61833356336166,0.0,0.0,249.61833356336166
7,8,6,4,0,728.8537123252132,0.0,728.8537123252132,287.21307976212927,0.0,0.0,287.21307976212927
8,9,6,4,0,729.5255345495655,0.0,729.5255345495655,325.64744085530276,0.0,0.0,325.64744085530276
9,10,4,6,0,903.2874867247531,0.0,903.2874867247531,363.04706569520096,0.0,0.0,363.04706569520096
10,11,4,6,0,903.2874867247531,0.0,903.2874867247531,404.16535556915886,0.0,0.0,404.16535556915886
11,12,4,6,0,1054.454647596263,0.0,1054.454647596263,444.33175972570587,0.0,0.0,444.33175972570587
12,13,4,6,0,1107.0983586922775,0.0,1107.0983586922775,484.33205888718237,0.0,0.0,484.33205888718237
13,14,4,6,0,1135.0846999314574,0.0,1135.0846999314574,524.3248519839755,0.0,0.0,524.3248519839755
14,15,3,7,0,1140.8428644054932,0.0,1140.8428644054932,564.2771685419426,0.0,0.0,564.2771685419426
15,16,3,7,0,1141.156175079321,0.0,1141.156175079321,605.6206774118689,0.0,0.0,605.6206774118689
16,17,2,8,0,1276.9865541886645,0.0,1276.9865541886645,646.0211498488736,0.0,0.0,646.0211498488736
17,18,2,8,0,1330.70121278452,0.0,1330.70121278452,687.8997453308546,0.0,0.0,687.8997453308546
18,19,2,8,0,1538.0711329871376,0.0,1538.0711329871376,728.8174900903198,0.0,0.0,728.8174900903198
19,20,2,8,0,1577.656968524847,0.0,1577.656968524847,769.551389254038,0.0,0.0,769.551389254038
