step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,10,0,0,0.0,10.0,10.0,0.0,0.5,0.0,0.5
1,2,10,0,0,0.0,20.0,20.0,0.0,1.0,0.0,1.0
2,3,10,0,0,0.0,30.0,30.0,0.0,1.5,0.0,1.5
3,4,10,0,0,0.0,40.0,40.0,0.0,2.0,0.0,2.0
4,5,10,0,0,0.0,50.0,50.0,0.0,2.5,0.0,2.5
5,6,10,0,0,0.0,60.0,60.0,0.0,3.0,0.0,3.0
6,7,10,0,0,0.0,70.0,70.0,0.0,3.5,0.0,3.5
7,8,10,0,0,0.0,74.64630972728575,74.64630972728575,16.203843120831298,3.732315486364288,0.0,19.936158607195587
8,9,9,1,1,64.42845231633926,74.64630972728575,139.07476204362501,32.02815685454401,3.732315486364288,0.0,35.7604723409083
9,10,9,1,1,64.42845231633926,84.64630972728575,149.07476204362501,32.02815685454401,4.232315486364287,2.0,38.2604723409083
10,11,9,1,1,64.42845231633926,94.64630972728575,159.07476204362501,32.02815685454401,4.732315486364287,4.0,40.7604723409083
11,12,9,1,1,64.42845231633926,104.64630972728575,169.07476204362501,32.02815685454401,5.232315486364287,6.0,43.2604723409083
12,13,9,1,1,64.42845231633926,114.64630972728575,179.07476204362501,32.02815685454401,5.732315486364287,8.0,45.7604723409083
13,14,9,1,1,64.42845231633926,119.82326521979499,184.25171753613427,50.67325265846357,5.991163260989749,10.0,66.66441591945332
14,15,8,2,2,285.13470353588167,119.82326521979499,404.9579687556767,67.93217417092292,5.991163260989749,12.0,85.92333743191267
15,16,8,2,2,285.13470353588167,129.823265219795,414.9579687556767,67.93217417092292,6.491163260989749,16.0,90.42333743191267
16,17,8,2,2,285.13470353588167,139.823265219795,424.9579687556767,67.93217417092292,6.991163260989749,20.0,94.92333743191267
17,18,8,2,2,285.13470353588167,149.823265219795,434.9579687556767,67.93217417092292,7.491163260989749,24.0,99.42333743191267
18,19,8,2,2,285.13470353588167,159.823265219795,444.9579687556767,67.93217417092292,7.991163260989749,28.0,103.92333743191267
19,20,8,2,2,285.13470353588167,169.823265219795,454.9579687556767,67.93217417092292,8.49116326098975,32.0,108.42333743191267
