step,sim_time,event_type,task_id,uav_id,agv_id,x,y,details
0,0,AGV_MOVE_START,1,,1,147.29424283280247,135.33989748458225,AGV starts moving to relay point
0,0,TASK_ASSIGNED,1,1,1,,,Task assigned to UAV
0,0,RELAY_REQUEST,1,,1,,,Relay support requested for task
0,0,WAIT_FOR_AGV_START,1,1,,,,Task starts waiting for AGV
1,1,TASK_ASSIGNED,2,2,1,,,Task assigned to UAV
1,1,RELAY_REQUEST,2,,1,,,Relay support requested for task
1,1,WAIT_FOR_AGV_START,2,2,,,,Task starts waiting for AGV
7,7,AGV_ARRIVE_RELAY,2,,1,85.37100358145334,138.2226267787315,AGV arrived at relay point
7,7,RELAY_COOP_START,2,2,1,,,
7,7,LOW_BATTERY,,2,,,,
8,8,WAIT_FOR_AGV_END,2,2,,,,Task stops waiting for AGV
8,8,TASK_COMPLETE,2,2,,,,
8,8,CHARGING_REQUEST,,2,,,,UAV requests charging
8,8,CHARGING_START,,2,1,108,8,Charging started
9,9,AGV_MOVE_START,3,,1,85.37100358145334,138.2226267787315,AGV starts moving to relay point
9,9,TASK_ASSIGNED,3,2,1,,,Task assigned to UAV
9,9,RELAY_REQUEST,3,,1,,,Relay support requested for task
9,9,WAIT_FOR_AGV_START,3,2,,,,Task starts waiting for AGV
10,10,RELAY_FALLBACK,1,1,,,,"AGV took too long, falling back to direct delivery"
10,10,RELAY_FALLBACK_START,1,1,,,,
10,10,LOW_BATTERY,,1,,,,
11,11,WAIT_FOR_AGV_END,1,1,,,,Task stops waiting for AGV
11,11,TASK_COMPLETE,1,1,,,,
11,11,CHARGING_REQUEST,,1,,,,UAV requests charging
12,12,TASK_ASSIGNED,4,1,1,,,Task assigned to UAV
12,12,RELAY_REQUEST,4,,1,,,Relay support requested for task
12,12,WAIT_FOR_AGV_START,4,1,,,,Task starts waiting for AGV
12,12,RELAY_FALLBACK,4,1,,,,"AGV took too long, falling back to direct delivery"
12,12,RELAY_FALLBACK_START,4,1,,,,
12,12,CHARGING_REQUEST,,1,,,,UAV requests charging
13,13,WAIT_FOR_AGV_END,4,1,,,,Task stops waiting for AGV
13,13,TASK_COMPLETE,4,1,,,,
13,13,CHARGING_REQUEST,,1,,,,UAV requests charging
14,14,TASK_ASSIGNED,5,1,1,,,Task assigned to UAV
14,14,RELAY_REQUEST,5,,1,,,Relay support requested for task
14,14,WAIT_FOR_AGV_START,5,1,,,,Task starts waiting for AGV
14,14,RELAY_FALLBACK,5,1,,,,"AGV took too long, falling back to direct delivery"
14,14,RELAY_FALLBACK_START,5,1,,,,
14,14,CHARGING_REQUEST,,1,,,,UAV requests charging
15,15,WAIT_FOR_AGV_END,5,1,,,,Task stops waiting for AGV
15,15,CHARGING_REQUEST,,1,,,,UAV requests charging
16,16,CHARGING_REQUEST,,1,,,,UAV requests charging
17,17,CHARGING_REQUEST,,1,,,,UAV requests charging
18,18,AGV_ARRIVE_RELAY,5,,1,143.04096267962848,126.4035618748209,AGV arrived at relay point
18,18,CHARGING_REQUEST,,1,,,,UAV requests charging
18,18,CHARGING_START,,1,1,137.08195611622585,31.077828764298218,Charging started
