timestamp,sender,receiver,message_type,content
19,UAV 2,Control Center,LOW_BATTERY,Battery level: 23.8%
20,UAV 1,Control Center,LOW_BATTERY,Battery level: 21.4%
20,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 6.7%"
20,Control Center,AGV 1,CHARGING_COMMAND,Charge UAV 2
20,AGV 1,UAV 2,CHARGING_START,Start charging
21,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 3.7%"
21,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 1
21,AGV 2,UAV 1,CHARGING_START,Start charging
35,UAV 2,Control Center,TASK_COMPLETE,Complete task 2
37,UAV 1,Control Center,TASK_COMPLETE,Complete task 1
58,UAV 2,Control Center,TASK_COMPLETE,Complete task 3
58,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 13.7%"
58,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 2
58,AGV 2,UAV 2,CHARGING_START,Start charging
