step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,3,0,0,0.0,20.0,20.0,0.0,1.0,0.0,1.0
1,2,3,0,0,0.0,40.0,40.0,0.0,2.0,0.0,2.0
2,3,3,0,0,0.0,60.0,60.0,0.0,3.0,0.0,3.0
3,4,3,0,0,0.0,80.0,80.0,0.0,4.0,0.0,4.0
4,5,3,0,0,0.0,100.0,100.0,0.0,5.0,0.0,5.0
5,6,3,0,0,0.0,120.0,120.0,0.0,6.0,0.0,6.0
6,7,3,0,0,0.0,140.0,140.0,0.0,7.0,0.0,7.0
7,8,3,0,0,0.0,160.0,160.0,0.0,8.0,0.0,8.0
8,9,3,0,0,0.0,180.0,180.0,0.0,9.0,0.0,9.0
9,10,3,0,0,0.0,200.0,200.0,0.0,10.0,0.0,10.0
10,11,3,0,0,0.0,220.0,220.0,0.0,11.0,0.0,11.0
11,12,3,0,0,0.0,240.0,240.0,0.0,12.0,0.0,12.0
12,13,3,0,0,0.0,260.0,260.0,0.0,13.0,0.0,13.0
13,14,3,0,0,0.0,280.0,280.0,0.0,14.0,0.0,14.0
14,15,3,0,0,0.0,300.0,300.0,0.0,15.0,0.0,15.0
15,16,3,0,0,0.0,320.0,320.0,0.0,16.0,0.0,16.0
16,17,3,0,0,0.0,340.0,340.0,0.0,17.0,0.0,17.0
17,18,3,0,0,0.0,360.0,360.0,0.0,18.0,0.0,18.0
18,19,3,0,0,0.0,380.0,380.0,0.0,19.0,0.0,19.0
19,20,3,0,0,0.0,400.0,400.0,16.203843120831298,20.0,0.0,36.203843120831294
20,21,3,0,1,156.88299302247185,400.0,556.8829930224719,51.970283667153836,20.0,0.0,71.97028366715384
21,22,3,0,2,326.74530284181463,400.0,726.7453028418147,69.59852493869533,20.0,2.0,91.59852493869533
22,23,3,0,2,326.74530284181463,400.0,726.7453028418147,69.59852493869533,20.0,6.0,95.59852493869533
23,24,3,0,2,326.74530284181463,400.0,726.7453028418147,69.59852493869533,20.0,10.0,99.59852493869533
24,25,3,0,2,326.74530284181463,400.0,726.7453028418147,69.59852493869533,20.0,14.0,103.59852493869533
25,26,3,0,2,326.74530284181463,400.0,726.7453028418147,69.59852493869533,20.0,18.0,107.59852493869533
26,27,3,0,2,326.74530284181463,400.0,726.7453028418147,69.59852493869533,20.0,22.0,111.59852493869533
27,28,3,0,2,326.74530284181463,400.0,726.7453028418147,69.59852493869533,20.0,26.0,115.59852493869533
28,29,3,0,2,326.74530284181463,400.0,726.7453028418147,69.59852493869533,20.0,30.0,119.59852493869533
29,30,3,0,2,326.74530284181463,400.0,726.7453028418147,69.59852493869533,20.0,34.0,123.59852493869533
30,31,3,0,2,326.74530284181463,400.0,726.7453028418147,69.59852493869533,20.0,38.0,127.59852493869533
31,32,3,0,2,326.74530284181463,400.0,726.7453028418147,69.59852493869533,20.0,42.0,131.59852493869533
32,33,3,0,2,326.74530284181463,400.0,726.7453028418147,69.59852493869533,20.0,46.0,135.59852493869533
33,34,3,0,2,326.74530284181463,400.0,726.7453028418147,69.59852493869533,20.0,50.0,139.59852493869533
34,35,3,0,2,326.74530284181463,400.0,726.7453028418147,69.59852493869533,20.0,54.0,143.59852493869533
35,36,2,1,2,546.927727003094,400.0,946.927727003094,85.42283867240805,20.0,58.0,163.42283867240803
36,37,2,1,2,546.927727003094,410.0,956.927727003094,85.42283867240805,20.5,60.0,165.92283867240803
37,38,1,2,2,605.7307072852223,420.0,1025.7307072852223,102.6817601848674,21.0,62.0,185.6817601848674
38,39,1,2,2,605.7307072852223,430.0,1035.7307072852223,102.6817601848674,21.5,62.0,186.1817601848674
39,40,1,2,2,605.7307072852223,440.0,1045.7307072852223,102.6817601848674,22.0,62.0,186.6817601848674
40,41,1,2,2,605.7307072852223,450.0,1055.7307072852223,102.6817601848674,22.5,62.0,187.1817601848674
