step,energy,completed_tasks,battery_status
0,10.0,0,"[100, 100]"
1,10.0,0,"[95.0, 95.0]"
2,10.0,0,"[90.0, 90.0]"
3,10.0,0,"[85.0, 85.0]"
4,10.0,0,"[80.0, 80.0]"
5,10.0,0,"[75.0, 75.0]"
6,10.0,0,"[70.0, 70.0]"
7,10.0,0,"[65.0, 65.0]"
8,10.0,0,"[60.0, 60.0]"
9,10.0,1,"[55.0, 55.0]"
10,10.0,1,"[50.0, 50.0]"
11,10.0,1,"[45.0, 45.0]"
12,10.0,1,"[40.0, 40.0]"
13,10.0,1,"[35.0, 35.0]"
14,10.0,1,"[30.0, 30.0]"
15,10.0,1,"[25.0, 25.0]"
16,10.0,1,"[20.0, 20.0]"
17,10.0,1,"[35.0, 35.0]"
18,10.0,1,"[30.0, 30.0]"
19,10.0,1,"[25.0, 25.0]"
20,10.0,2,"[20.0, 20.0]"
21,5.0,2,"[35.0, 35.0]"
22,5.0,2,"[30.0, 35.0]"
23,5.0,2,"[25.0, 35.0]"
24,5.0,2,"[20.0, 35.0]"
25,5.0,3,"[35.0, 35.0]"
